JOR,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
556017,Minister of Armament,Ahmad Qadri,3,Military Entrepreneur,M556017
556033,Chief of Navy,Gadi abd-el Jabbar,3,Power Projection Doctrine,M556033
556028,Chief of Staff,Haddad al-Wali,3,School of Mass Combat,M556028
556013,Head of Government,Ismael Bey Gaspirali,3,Silent Workhorse,M556013
556022,Minister of Security,Mohammed al-Shureiki,3,Compassionate Gentleman,M556022
556031,Chief of Army,Nair al-Jafaar,3,Guns and Butter Doctrine,M556031
556025,Head of Military Intelligence,Rustum Haidar,3,Political Specialist,M556025
556015,Foreign Minister,Said al-Mufti,3,Great Compromiser,M556015
556035,Chief of Air Force,Sami al-Afiz,3,Vertical Envelopment Doctrine,M556035
556020,Minister of Security,Awni Abdul Hadi,6,Silent Lawyer,M556020
556041,Head of Government,Fawzi al-Mulqi,6,Smiling Oilman,M556041
556038,Head of Government,Ibrahim Hashim,6,Happy Amateur,M556038
556004,Minister of Armament,Omar Pasha Mattar,6,laissez-faire capitalist,M556004
556040,Head of Government,Said al-Mufti,6,Political Protege,M556015
556003,Foreign Minister,Samir al-Rifai,6,Apologetic Clerk,M556003
556039,Head of Government,Samir al-Rifai,6,Silent Workhorse,M556003
556002,Head of Government,Tawfiq Abul-Huda,6,Naive Optimist,M556002
556032,Chief of Army,Abdullah Mecit Pasha,7,Static Defence Doctrine,M556032
556036,Chief of Air Force,Esmael al-Khaliq,7,Carpet Bombing Doctrine,M556036
556034,Chief of Navy,Hibah abd-el Adir,7,Indirect Approach Doctrine,M556034
556016,Foreign Minister,Ibrahim Pasha Hasheem,7,Biased Intellectual,M556016
556026,Head of Military Intelligence,Shadi al-Hakim,7,Industrial Specialist,M556026
556023,Minister of Security,Shaker ben Zaid,7,Crime Fighter,M556023
556014,Head of Government,Sherif Husayn á Hijaz,7,Smiling Oilman,M556014
556018,Minister of Armament,Suleiman al-Nabulshi,7,Infantry Proponent,M556018
556029,Chief of Staff,Yoshua Abdel Ahti,7,School of Defence,M556029
