KOR,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
578017,Chief of Staff,Chi Chun Chung,2,School of Psychology,M578017
578019,Chief of Navy,Jong Dong-ju,2,Open Seas Doctrine,M578019
578016,Head of Military Intelligence,Kim Chang Kim,2,Technical Specialist,M578016
578013,Foreign Minister,Kim Kyu-joon,2,Apologetic Clerk,M578013
578018,Chief of Army,Kim Won Bong,2,Guns and Butter Doctrine,M578018
578015,Minister of Security,Nam Suk Lee,2,Efficient Sociopath,M578015
578012,Head of Government,Park Hyong Yong,2,Ambitious Union Boss,M578012
578020,Chief of Air Force,Ri Jae Sun,2,Naval Aviation Doctrine,M578020
578014,Minister of Armament,Yi Tong-whi,2,Infantry Proponent,M578014
578043,Minister of Security,An Chang-ho,3,Man of the People,Changho
578041,Head of Government,Yuh Woon-Hyung,3,Naive Optimist,KORHyung
578044,Head of Military Intelligence,Chae Man-shik,4,Dismal Enigma,KORShik
578045,Minister of Armament,Yang Gi-tak,4,Administrative Genius,KORYang
578040,Foreign Minister,Hong Jin,5,Biased Intellectual,KORHong
578047,Chief of Army,Kim Gu,5,Decisive Battle Doctrine,KORGu
578042,Head of Government,Kim Kyu-sik,5,Silent Workhorse,KORKye
578022,Minister of Security,Baik Cha Bum,6,Silent Lawyer,M578022
578007,Chief of Staff,Chae Byong Duk,6,School of Defence,M578007
578029,Foreign Minister,Chang Myon,6,Apologetic Clerk,M578026
578026,Head of Government,Chang Myon,6,Silent Workhorse,M578026
578036,Foreign Minister,Chang Taek Sang,6,Biased Intellectual,M578027
578027,Head of Government,Chang Taek Sang,6,Corporate Suit,M578027
578005,Minister of Security,Cho Man Sik,6,Prince of Terror,M578005
578006,Head of Military Intelligence,Cho So Ang,6,Logistics Specialist,M578006
578031,Minister of Armament,Han Song Paek,6,laissez-faire capitalist,M578031
578004,Minister of Armament,Kim Chang Sook,6,Military Entrepreneur,M578004
578003,Foreign Minister,Kim Gyu Sik,6,Great Compromiser,M578003
578002,Head of Government,Kim Ku,6,Flamboyant Tough Guy,M578002
578010,Chief of Air Force,Lee Bom Suk,6,Army Aviation Doctrine,M578010
578024,Head of Government,Lee Bom Suk,6,old airmarshal,M578010
578008,Chief of Army,Lee Chung Chun,6,Elastic Defence Doctrine,M578008
578028,Head of Government,Paik Too Chin,6,Backroom Backstabber,M578028
578035,Head of Military Intelligence,Paik Too Chin,6,Political Specialist,M578028
578023,Head of Military Intelligence,Park Chung Hee,6,Political Specialist,M578023
578021,Minister of Armament,Rheem Eun Soo,6,Military Entrepreneur,M578021
578037,Head of Military Intelligence,Shan Sang Ma,6,Technical Specialist,M578032
578032,Minister of Armament,Shan Sang Ma,6,Theoretical Scientist,M578032
578025,Head of Government,Shin Sung Mo,6,Happy Amateur,M578025
578034,Minister of Security,Shin Sung Mo,6,Crime Fighter,M578025
578009,Chief of Navy,Soon Won-yil,6,Decisive Naval Battle Doctrine,M578009
578030,Foreign Minister,To Yong Chang,6,Iron Fisted Brute,M578030
578033,Minister of Security,Yong Tae Pyon,6,Efficient Sociopath,M578033
578039,Head of Government,H.R.H. Yi Gang,7,Flamboyant Tough Guy,M750050
