KUR,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
548016,Foreign Minister,Arbil R. Ghassemlou,2,Great Compromiser,M548016
548032,Chief of Air Force,Borna Vardad,2,Army Aviation Doctrine,M548032
548014,Head of Government,Cami Teimourian,2,Ambitious Union Boss,M548014
548021,Minister of Security,Fikret Raif,2,Back Stabber,M548021
548026,Chief of Staff,Gholamhassan Roohizadegan,2,School of Fire Support,M548026
548030,Chief of Navy,Hasbi Killic,2,Base Control Doctrine,M548030
548018,Minister of Armament,Khalil Zada,2,Infantry Proponent,M548018
548022,Minister of Security,Mahmad Kazimi,2,Man of the People,M548022
548028,Chief of Army,Mustapha Barzani,2,Elastic Defence Doctrine,M548028
548024,Head of Military Intelligence,Osman Lukhman,2,Logistics Specialist,M548024
548036,Head of Government,Sheikh Ahmad Barzani,3,Silent Workhorse,sheikh_Ahmad_Barzani
548031,Chief of Air Force,Abbas Za'irpur,4,Carpet Bombing Doctrine,M548031
548025,Chief of Staff,Bala Yigit,4,School of Mass Combat,M548025
548027,Chief of Army,Devrim Tanju,4,Static Defence Doctrine,M548027
548020,Minister of Security,Jaa'far Na'imi,4,Compassionate Gentleman,M548020
548017,Minister of Armament,Nuri Dersimi,4,Tank Proponent,M548017
548029,Chief of Navy,Ohmed Aqiqat,4,Indirect Approach Doctrine,M548029
548015,Foreign Minister,Sadri Qazi,4,Ideological Crusader,M548015
548013,Head of Government,Sayfi Qazi,4,Naive Optimist,M548013
548023,Head of Military Intelligence,sir Ernest Milford,4,Political Specialist,M548023
548035,Foreign Minister,Jaladat Ali Badirkhan,5,Great Compromiser,JaladatAliBadirkhan
548034,Chief of Staff,Mustafa Pasha Yamolki,5,School of Fire Support,MustafaPashaYamolki
548005,Minister of Security,Abdulmecid Zörlü,7,Crime Fighter,M548005
548006,Head of Military Intelligence,Cancin Üruisamoglu,7,Technical Specialist,M548006
548003,Foreign Minister,Demir Cabrial,7,Iron Fisted Brute,M548003
548009,Chief of Navy,Erden Zafavi,7,Open Seas Doctrine,M548009
548008,Chief of Army,Hazhir Öcalan,7,Guns and Butter Doctrine,M548008
548038,Head of Government,Hazhir Öcalan,7,Old General,M548008
548004,Minister of Armament,Mehmed Emin Pasha,7,laissez-faire capitalist,M548004
548010,Chief of Air Force,Sarkis Demirkol,7,Naval Aviation Doctrine,M548007
548007,Chief of Staff,Sarkis Demirkol,7,School of Psychology,M548007
548002,Head of Government,Sayed Mehmed Celaleddin,7,Silent Workhorse,M548002
548019,Minister of Security,Werner Best,7,Prince of Terror,M548019
