EAF,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
550050,Chief of Air Force,Edward Montford,2,Vertical Envelopment Doctrine,M550046
550046,Chief of Navy,Edward Montford,2,Decisive Naval Battle Doctrine,M550046
550024,Minister of Armament,Ronald Ngala,3,Tank Proponent,M550024
550010,Chief of Air Force,Charles Farquharson Dundas,5,Air Superiority Doctrine,M550010
550023,Minister of Armament,Charles Farquharson Dundas,5,Air Superiority Proponent,M550010
550071,Chief of Air Force,Florence Lowe Barnes,5,Air Superiority Doctrine,kaiserreich lowebarnes
550007,Chief of Staff,Henry Dundas Stevenson,5,School of Defence,M550007
550041,Chief of Army,Henry G. Pilling,5,Static Defence Doctrine,M550018
550018,Foreign Minister,Henry G. Pilling,5,Iron Fisted Brute,M550018
550004,Minister of Armament,Henry Monck-Mason Moore,5,Battle Fleet Proponent,M550004
550048,Chief of Air Force,James Howe-Dobson,5,Army Aviation Doctrine,M550048
550037,Chief of Staff,Jeremy J. Pierson,5,School of Psychology,M550037
550006,Head of Military Intelligence,Mark Young,5,Industrial Specialist,M550006
550008,Chief of Army,Robert Brooke-Popham,5,Decisive Battle Doctrine,L1051
550003,Foreign Minister,Robert Brooke-Popham,5,General Staffer,L1051
550005,Minister of Security,Sir Harold McMichael,5,Efficient Sociopath,M550005
550002,Head of Government,Sir John Hathorn Hall,5,Flamboyant Tough Guy,M550002
550029,Minister of Security,Vincent Goncalves Glenday,5,Crime Fighter,M550029
550009,Chief of Navy,William Demas Battershill,5,Open Seas Doctrine,M550009
550063,Chief of Staff,Cecil Clementi,6,School of Defence,kaiserreich cecilclementi
550062,Head of Government,Cecil Clementi,6,Smiling Oilman,kaiserreich cecilclementi
550072,Minister of Armament,Robert Hotung,6,Laissez-Faire Capitalist,kaiserreich hotung
550066,Foreign Minister,Sir Reginald Stubbs,6,Great Compromiser,kaiserreich reginaldstubbs
550061,Foreign Minister,Stirling Fessenden,6,Apologetic Clerk,kaiserreich stirlingfessenden
550060,Head of Government,Stirling Fessenden,6,Corporate Suit,kaiserreich stirlingfessenden
550081,Chief of Air Force,William E. Fairbairn,6,Vertical Envelopment Doctrine,kaiserreich fairbairn
550080,Chief of Navy,William E. Fairbairn,6,Base Control Doctrine,kaiserreich fairbairn
550079,Head of Military Intelligence,William E. Fairbairn,6,Dismal Enigma,kaiserreich fairbairn
550078,Minister of Security,William E. Fairbairn,6,Man of the People,kaiserreich fairbairn
550021,Minister of Armament,Alexius de Laszlo,7,Infantry Proponent,M550021
550032,Head of Military Intelligence,Charles Witherspoon,7,Logistics Specialist,M550032
550077,Chief of Air Force,Donald Brotchie,7,Naval Aviation Doctrine,kaiserreich brotchie
550076,Chief of Navy,Donald Brotchie,7,Open Seas Doctrine,kaiserreich brotchie
550075,Chief of Staff,Donald Brotchie,7,School of Psychology,kaiserreich brotchie
550074,Head of Military Intelligence,Donald Brotchie,7,Naval Intelligence Specialist,kaiserreich brotchie
550073,Minister of Armament,Donald Brotchie,7,Battle Fleet Proponent,kaiserreich brotchie
550028,Minister of Security,Ide DeLisle,7,Back Stabber,M550028
550014,Head of Government,Lord Josslyn Erroll,7,Naive Optimist,M1051
550047,Chief of Air Force,Makhan Singh,7,Naval Aviation Doctrine,M550027
550027,Minister of Security,Makhan Singh,7,Crooked Kleptocrat,M550027
550040,Chief of Army,Peter Mills,7,Guns and Butter Doctrine,M550040
550036,Chief of Staff,Richard Carver,7,School of Manoeuvre,L1069
550070,Chief of Army,Walther Stennes,7,Decisive Battle Doctrine,M750035
550069,Chief of Staff,Walther Stennes,7,School of Mass Combat,M750035
550068,Minister of Armament,Walther Stennes,7,Military Entrepreneur,M750035
550067,Chief of Army,Huang Jinrong,8,Guns and Butter Doctrine,kaiserreich HuangJinrong
550059,Head of Government,Huang Jinrong,8,Ambitious Union Boss,kaiserreich HuangJinrong
550055,Minister of Security,Huang Jinrong,8,Crime Fighter,kaiserreich HuangJinrong
550057,Foreign Minister,Jiang Qing,8,The Cloak N Dagger Schemer,kaiserreich jiangqing
550085,Head of Military Intelligence,Mitsuhira Mitsuhirato,8,Political Specialist,Kaiserreich Mitsuhirato
550058,Minister of Armament,T. Sassoon,8,Laissez-Faire Capitalist,kaiserreich tsassoon
550052,Head of Government,Tu Yueh-sen,8,Flamboyant Tough Guy,kaiserreich Tu Yueh sen
550056,Head of Military Intelligence,Tu Yueh-sen,8,Political Specialist,kaiserreich Tu Yueh sen
550053,Minister of Armament,Tu Yueh-sen,8,Corrupt Kleptocrat,kaiserreich Tu Yueh sen
550054,Minister of Security,Tu Yueh-sen,8,Efficient Sociopath,kaiserreich Tu Yueh sen
550083,Chief of Army,Yuan Kewen,8,Elastic Defence Doctrine,M750013
550082,Chief of Staff,Yuan Kewen,8,School of Psychology,M750013
550084,Foreign Minister,Yuan Kewen,8,Iron Fisted Brute,M750013
