LIB,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
69133,Foreign Minister,Albert Porte,2,Great Compromiser,M69033
69132,Head of Government,Albert Porte,2,Ambitious Union Boss,M69033
69093,Head of Government,Anthony Dash Wilson,4,Happy Amateur,LIB_anthony_dash_wilson
69111,Minister of Security,Anthony Dash Wilson,4,Back Stabber,LIB_anthony_dash_wilson
69128,Chief of Air Force,Benjamin Oliver Davis Jr.,4,Air Superiority Doctrine,L60503
69099,Minister of Armament,Benjamin Oliver Davis Jr.,4,Air Superiority Proponent,L60503
69118,Chief of Army,Benjamin Oliver Davis Sr.,4,Decisive Battle Doctrine,M69007
69115,Chief of Staff,Benjamin Oliver Davis Sr.,4,School of Mass Combat,M69007
69100,Minister of Armament,Benjamin Oliver Davis Sr.,4,Infantry Proponent,M69007
69096,Foreign Minister,Charles Dunbar Burgess King,4,Great Compromiser,CharlesDunbarBurgessKing
69109,Minister of Security,Charles Dunbar Burgess King,4,Silent Lawyer,CharlesDunbarBurgessKing
69094,Foreign Minister,Cornelius Bosman van Oudkarspel,4,Apologetic Clerk,unknown
69113,Head of Military Intelligence,Cornelius Bosman van Oudkarspel,4,Dismal Enigma,unknown
69110,Minister of Security,Cornelius Bosman van Oudkarspel,4,Compassionate Gentleman,unknown
69126,Chief of Air Force,Daniel B. Warner,4,Army Aviation Doctrine,DanielBWarner
69120,Chief of Army,Daniel B. Warner,4,Guns and Butter Doctrine,DanielBWarner
69117,Chief of Staff,Daniel B. Warner,4,School of Psychology,DanielBWarner
69105,Minister of Armament,Daniel B. Warner,4,air to ground proponent,DanielBWarner
69121,Chief of Navy,Francis M. Dean,4,Indirect Approach Doctrine,unknown
69104,Minister of Armament,Francis M. Dean,4,Submarine Proponent,unknown
69095,Foreign Minister,Fretus Africanus Russell,4,The Cloak N Dagger Schemer,unknown
69112,Head of Military Intelligence,Fretus Africanus Russell,4,Technical Specialist,unknown
69107,Minister of Security,Fretus Africanus Russell,4,Efficient Sociopath,unknown
