LIT,Ruling Cabinet - start,Name,Ideology,Personality,Picturename
,,,,,
28144,Chief of Air Force,Aleksandras Guzevicius,0,Vertical Envelopment Doctrine,M28030
28121,Chief of staff,Aleksandras Guzevicius,0,School of Defence,M28030
28081,Minister of Armament,Antanas Sanirka,0,Air to Sea Proponent,M28081
28130,Chief of Army,Antanas Snieckus,0,Armoured Spearhead Doctrine,M28027
28120,Chief of staff,Antanas Snieckus,0,School of Fire Support,M28027
28054,Head of Government,Antanas Snieckus,0,Old Admiral,M28040
28096,Minister of Security,Antanas Snieckus,0,Crime Fighter,M28040
28100,Head of Military Intelligence,Chaimas Aizenas,0,Dismal Enigma,M28100
28094,Minister of Security,Domas Rocius,0,Efficient Sociopath,M28094
28081,Minister of Armament,Icikas Meskupas-Adomas,0,Corrupt Kleptocrat,M28081
28145,Chief of Air Force,Juozas Baukarskas,0,Army Aviation Doctrine,M28145
28097,Minister of Security,Juozas Kupcinkas,0,Compassionate Gentleman,M28097
28131,Chief of Army,Jurgis Terleckas,0,Guns and Butter Doctrine,M28098
28098,Minister of Security,Jurgis Terleckas,0,Prince of Terror,M28098
28065,Foreign Minister,Justas Paleckis,0,Ideological Crusader,M28021
28067,Foreign Minister,Karolis Didziulis,0,The Cloak N Dagger Schemer,M28067
28138,Chief of Navy,Mecislovas Gedvilas,0,Base Control Doctrine,M28024
28068,Foreign Minister,Mecislovas Gedvilas,0,Apologetic Clerk,M28024
28080,Minister of Armament,Mecislovas Gedvilas,0,Theoretical Scientist,M28024
28109,Head of Military Intelligence,Petras Vrublevskis 'Daumantas',0,Industrial Specialist,M28109
28095,Minister of Security,Povilas Pakarklis,0,Silent Lawyer,M28025
28101,Head of Military Intelligence,Pranas Zibertas,0,Technical Specialist,M28026
28066,Foreign Minister,Vincas Kapsukas,0,Biased Intellectual,M28053
28053,Head of Government,Vincas Kapsukas,0,Political Protege,M28053
28137,Chief of Navy,Vladas Karvelis,0,Indirect Approach Doctrine,M28029
28079,Minister of Armament,Vladas Vadluga,0,Submarine Proponent,M28079
28110,Head of Military Intelligence,Vytautas Ambrazas,0,Political Specialist,M28110
28165,Minister of Armament,Jackus Sondeckis,3,laissez-faire capitalist,kai_litjcksson
28160,Minister of Armament,Jeronimas Pleckaitis,3,Resource Industrialist,kai_litjrnmplct
28164,Head of Government,Jonas Pakalka,3,Political Protege,kai_litjnspklk
28160,Minister of Security,Juozas Paplauskas,3,Man of the People,kai_litjzspp
28166,Foreign Minister,Kipras Bielinis,3,Biased Intellectual,kai_litkprsbilns
28159,Foreign Minister,Vladas Pozela,3,Ideological Crusader,kai_litvldspzl
28162,Head of Military Intelligence,Vladas Sirutavicius,3,Industrial Specialist,kai_litvldssr
28157,Head of Government,Mykolas Birziska,5,backroom backstabber,kai_litmklsbrz
28129,Chief of Army,Adolfas Ramanauskas-Vanagas,6,Elastic Defence Doctrine,M28018
28128,Chief of Army,Anatolijus Kairys,6,Static Defence Doctrine,M28019
28136,Chief of Navy,Anatolijus Kairys,6,Base Control Doctrine,M28019
28119,Chief of staff,Azuolas Jakus,6,School of Mass Combat,M28119
28108,Head of Military Intelligence,Frederick Hesselstein,6,Dismal Enigma,M28108
28062,Foreign Minister,Giedrius Grigas,6,Biased Intellectual,M28062
28063,Foreign Minister,Jonas Vailokaitis,6,Great Compromiser,M28063
28118,Chief of staff,Juoza Barzda-Bradauskas,6,School of Psychology,M28017
28142,Chief of Air Force,Juozas Ambrazevicius,6,Carpet Bombing Doctrine,M28020
28050,Head of Government,Juozas Ambrazevicius,6,Corporate Suit,M28020
28078,Minister of Armament,Juozas Balciunas-Svaistas,6,Corrupt Kleptocrat,M28078
28106,Head of Military Intelligence,Juozas Maciunas,6,Political Specialist,M28011
28076,Minister of Armament,Juozas Purickis,6,Administrative Genius,M28076
