LUX,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
66079,Head of Military Intelligence,Jean Pierre Kauder,1,Industrial Specialist,M66025
66069,Minister of Security,Jean Pierre Kauder,1,Man of the People,M66025
66096,Chief of Army,Martin Karp,1,Elastic Defence Doctrine,M66024
66087,Chief of Staff,Martin Karp,1,School of Mass Combat,M66024
66058,Minister of Armament,Martin Karp,1,Infantry Proponent,M66024
66102,Chief of Navy,Paul Medinger,1,Base Control Doctrine,M66021
66049,Foreign Minister,Paul Medinger,1,Biased Intellectual,M66021
66042,Head of Government,Paul Medinger,1,Ambitious Union Boss,M66021
66050,Foreign Minister,Francois Schammel,2,General Staffer,M66050
66109,Chief of Air Force,Jean Marc Steffen,2,Vertical Envelopment Doctrine,M66030
66059,Minister of Armament,Jean Pierre Kauder,2,Military Entrepreneur,M66025
66043,Head of Government,Martin Karp,2,Corporate Suit,M66024
66080,Head of Military Intelligence,Max Weckering,2,Dismal Enigma,M66080
66070,Minister of Security,Michel Hansen,2,Efficient Sociopath,M66070
66083,Chief of Staff,Alex Federspiel,3,School of Fire Support,M66055
66055,Minister of Armament,Alex Federspiel,3,Infantry Proponent,M66055
66075,Head of Military Intelligence,Charles Becker,3,Political Specialist,M66075
66084,Chief of Staff,Francois Schammel,3,School of Mass Combat,M66050
66074,Head of Military Intelligence,Francois Schammel,3,Logistics Specialist,M66050
66066,Minister of Security,Joseph Goedert,3,Compassionate Gentleman,M66066
66073,Head of Military Intelligence,Joseph Tockert,3,Technical Specialist,M66073
66045,Foreign Minister,Pierre Krier,3,Apologetic Clerk,M66045
66054,Minister of Armament,Pierre Krier,3,Resource Industrialist,M66045
66046,Foreign Minister,René Blum,3,Iron Fisted Brute,M66039
66039,Head of Government,René Blum,3,Ambitious Union Boss,M66039
66065,Minister of Security,René Blum,3,Crime Fighter,M66039
66114,Minister of Security,Eugene Schaus,4,Man of the People,M66114
66115,Head of Military Intelligence,Joseph Wohlfart,5,Industrial Specialist,M66115
66053,Minister of Armament,Auguste Oster,6,Administrative Genius,M66053
66072,Head of Military Intelligence,Edmond Klein,6,Dismal Enigma,M66072
66008,Chief of Army,Emile Speller,6,Static Defence Doctrine,M66008
66009,Chief of Navy,Emile Speller,6,Open Seas Doctrine,M66008
66061,Minister of Security,Etienne Schmit,6,Silent Lawyer,M66061
66090,Chief of Army,Felix Bourbon-Parma,6,Armoured Spearhead Doctrine,M66090
66082,Chief of Staff,Jean Seurlis,6,School of Psychology,M66082
66003,Foreign Minister,Joseph Bech,6,Ideological Crusader,M66002
66002,Head of Government,Joseph Bech,6,Naive Optimist,M66002
66062,Minister of Security,Joseph Bech,6,Compassionate Gentleman,M66002
66052,Minister of Armament,Jules Keiffer,6,Military Entrepreneur,M66052
66010,Chief of Air Force,Nicholas Diedrich,6,Army Aviation Doctrine,M66010
66006,Head of Military Intelligence,Nicholas Marque,6,Industrial Specialist,M66006
66060,Minister of Security,Nicolas Braunshausen,6,Back Stabber,M66060
66005,Minister of Security,Norbert Dumont,6,Crime Fighter,M66005
66007,Chief of Staff,Pierre Dupong,6,School of Defence,M66004
66038,Head of Government,Pierre Dupong,6,Silent Workhorse,M66004
66004,Minister of Armament,Pierre Dupong,6,laissez-faire capitalist,M66004
66111,Chief of Navy,Pierre Fischbach,6,Open Seas Doctrine,M66111
66063,Minister of Security,Robert Als,6,Crime Fighter,M66063
66064,Minister of Security,Victor Bodson,6,Man of the People,M66064
66041,Head of Government,Guillaume Soisson,7,Happy Amateur,M66016
66048,Foreign Minister,Henri Ahnen,7,Iron Fisted Brute,M66015
66078,Head of Military Intelligence,Jules Prussen,7,Technical Specialist,M66078
66057,Minister of Armament,Philip Hoffmann,7,Theoretical Scientist,M66057
66094,Chief of Army,Alexander von Falkenhausen,8,Decisive Battle Doctrine,M66034
66093,Chief of Army,Aloyse Glodt,8,Armoured Spearhead Doctrine,M66017
66085,Chief of Staff,Aloyse Glodt,8,School of Fire Support,M66017
66047,Foreign Minister,Damian Kratzenberg,8,Biased Intellectual,M66011
66040,Head of Government,Damian Kratzenberg,8,Corporate Suit,M66011
66106,Chief of Air Force,Guillaume Soisson,8,Air Superiority Doctrine,M66016
66076,Head of Military Intelligence,Guillaume Soisson,8,Logistics Specialist,M66016
66056,Minister of Armament,Gustave Farver,8,Tank Proponent,M66014
66100,Chief of Navy,Henri Ahnen,8,Indirect Approach Doctrine,M66015
66067,Minister of Security,Henri Ahnen,8,Compassionate Gentleman,M66015
66077,Head of Military Intelligence,Max Simon,8,Political Specialist,M66077
66113,Minister of Security,Max Simon,8,Prince of Terror,M66077
