LBY,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
576005,Head of Government,Nuri Killigil,7,Silent Workhorse,Nuri_Killigil
576006,Head of Government,Sharif El Gariani,7,Flamboyant Tough Guy,Gariani
576007,Head of Government,Ramadan Al-Swehli,7,Silent Workhorse,Al-Swehli
576008,Foreign Minister,Idris I al-Sanussi,7,General Staffer,Idris
576009,Foreign Minister,Ahmad al-Halikwi,7,The Cloak N Dagger Schemer,M576018
576010,Foreign Minister,Abd al-Qadir al-Badri,7,Biased Intellectual,al-Badri
576011,Foreign Minister,Ahmed Fouad Shennib,7,Great Compromiser,unknown
576012,Minister of Armament,Idris I al-Sanussi,7,Infantry Proponent,Idris
576013,Minister of Armament,Ramadan Al-Swehli,7,Resource Industrialist,Al-Swehli
576014,Minister of Armament,Abd al-Qadir al-Badri,7,Administrative Genius,al-Badri
576015,Minister of Armament,Ali al-Umlan,7,Strategic Air Proponent,M576030
576016,Minister of Armament,Hussein Yousef Maziq,7,Battle fleet Proponent,Maziq
576017,Minister of Armament,Sharif El Gariani,7,Infantry Proponent,Gariani
576018,Minister of Armament,Ahmad al-Halikwi,7,Corrupt Kleptocrat,M576018
576019,Minister of Security,Idris I al-Sanussi,7,Prince of Terror,Idris
576020,Minister of Security,Abd al-Qadir al-Badri,7,Silent Lawyer,al-Badri
576021,Minister of Security,Ahmed Fouad Shennib,7,Man of the People,unknown
576022,Minister of Security,Ramadan Al-Swehli,7,Prince of Terror,Al-Swehli
576023,Minister of Security,Ahmad al-Halikwi,7,Crooked Kleptocrat,M576018
576024,Head of Military Intelligence,Ramadan Al-Swehli,7,Industrial Specialist,Al-Swehli
576025,Head of Military Intelligence,Ahmad al-Halikwi,7,Dismal Enigma,M576018
576026,Head of Military Intelligence,H.R.H. Taher Khimlani,7,Naval Intelligence Specialist,M576028
576027,Chief of Staff,Idris I al-Sanussi,7,School of Psychology,Idris
576028,Chief of Staff,Omar al Fayek Shennib,7,School of Defence,Shennib
576029,Chief of Staff,Mohammar Sidiq,7,School of Manoeuvre,M576026
576030,Chief of Staff,Sharif El Gariani,7,School of Mass Combat,Gariani
576031,Chief of Army,Idris I al-Sanussi,7,Static Defence Doctrine,Idris
576032,Chief of Army,Omar al Fayek Shennib,7,Static Defence Doctrine,Shennib
576033,Chief of Army,Mohammar Sidiq,7,Elastic Defence Doctrine,M576026
576034,Chief of Army,Sharif El Gariani,7,Decisive Battle Doctrine,Gariani
576035,Chief of Navy,Wanis al-Qaddafi,7,Base Control Doctrine,al-Qaddafi
