U35,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
75911222,Minister of Security,V.O. Chidambaram,2,Compassionate gentleman,M911223
75911220,Head of Government,V.V.S. Aiyar,2,Political Protege,U35Aiy
75911221,Foreign Minister,C. Rajagopalachari,3,Ideological crusader,M911211
75911210,Head of Government,C. Rajagopalachari,3,Flamboyant Tough Guy,M911211
75911224,Head of Military Intelligence,Muthiah Mudaliar,4,Dismal Enigma,M911204
75911204,Minister of Security,Muthiah Mudaliar,4,Silent Lawyer,M911204
75911202,Foreign Minister,Paramasiva Subbarayan,4,Great Compromiser,M911200
75911213,Minister of Security,Paramasiva Subbarayan,4,Crime Fighter,M911200
75911203,Minister of Armament,R. N. Arogyasamy Mudaliar,4,Resource Industrialist,M911203
75911207,Chief of Navy,Ram Dass Katari,4,Power Projection Doctrine,M59019
75911208,Chief of Air Force,Ravindra Darshan Singh,4,Carpet Bombing Doctrine,M59118
75911211,Foreign Minister,S. Satyamurti,4,Ideological Crusader,M911210
75911201,Head of Government,Srinivasa Iyengar,4,Ambitious Union Boss,M911201
75911212,Minister of Armament,V.V. Giri,4,Resource Industrialist,M911213
75911215,Head of Government,A.T. Pannirselvam,6,Political Protege,M911216
75911223,Head of Military Intelligence,Bezawada Ramachandra,6,Dismal Enigma,M911219
75911218,Minister of Security,Bezawada Ramachandra,6,Compassionate Gentleman,M911219
75911227,Foreign Minister,C.S. Ranga Iyer,6,Great Compromiser,U35CSR
75911206,Chief of Army,Kodandera Thimayya,6,Elastic Defence Doctrine,M59095
75911205,Chief of Staff,Kodandera Thimayya,6,School of Defence,M59095
75911217,Minister of Armament,Kurma Venkata,6,Administrative Genius,U35Nai
75911216,Foreign Minister,Periyar Ramasavy,6,Iron Fisted Brute,M911215
75911226,Head of Military Intelligence,Annepu Parasuramdas Patro,7,Political Specialist,U35Ann
75911233,Minister of Armament,M. A. Muthiah Chettiar,7,Bank President,U35Mut
75911225,Minister of Security,M. Patanjali Sastri,7,Crime Fighter,U35Pat
75911234,Foreign Minister,S. Rm. M. Annamalai Chettiar,7,Biased Intellectual,U35Uhm
75911231,Chief of Army,Sri Ramakrishna Ranga Rao,7,Guns and Butter Doctrine,U35Ram
75911230,Chief of Staff,Sri Ramakrishna Ranga Rao,7,School of Psychology,U35Ram
75911229,Head of Government,V. T. Krishnamachari,7,Flamboyant Tough Guy,U35Kri
