CON,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
574052,Head of Government,Jomo Kenyatta,1,Naive Optimist,AFR_jomo_kenyata
574025,Head of Military Intelligence,Andre Muhirwa,2,Industrial Specialist,M574025
574017,Foreign Minister,Antoine Gizenga,2,Ideological Crusader,M574017
574023,Minister of Security,Charles Ndizeye,2,Compassionate Gentleman,M574023
574019,Minister of Armament,Gregorie Kayibanda,2,Corrupt Kleptocrat,M574019
574033,Chief of Navy,Jean Pierre Raffage,2,Open Seas Doctrine,M574033
574030,Chief of Army,Joseph D. Mobutu,2,Guns and Butter Doctrine,M574030
574020,Minister of Armament,Josephe Bamina,2,Air to Ground Proponent,M574020
574027,Chief of Staff,Josephe Kasavubu,2,School of Manoeuvre,M574027
574035,Chief of Air Force,Louis Rwagasore,2,Carpet Bombing Doctrine,M574035
574016,Foreign Minister,Moishe Tshombe,2,The Cloak N Dagger Schemer,M574016
574014,Head of Government,Patrice Lumumba,2,Ambitious Union Boss,M574014
574042,Chief of Army,Charles Atagana,5,Elastic Defence Doctrine,Kaiserreich Charles Atagana
574040,Head of Military Intelligence,Erich Kallmeyer,5,Logistics Specialist,Kaiserreich Kallmeyer
574038,Minister of Armament,Theophilius Wonja Michael,5,Administrative Genius,Kaiserreich TW Michael
574021,Minister of Security,Albin Nyamoya,7,Efficient Sociopath,M574021
574046,Foreign Minister,Alexander Duala Bell,7,Great Compromiser,Kaiserreich AlexanderBell
574050,Head of Government,Alexander Duala Bell,7,Flamboyant Tough Guy,Kaiserreich AlexanderBell
574005,Minister of Security,Alexander Duala Bell,7,Man of the People,Kaiserreich AlexanderBell
574004,Minister of Armament,August Stauch,7,Resource Industrialist,Kaiserreichstauch
574032,Chief of Navy,Dominik Mbonyumutwa,7,Power Projection Doctrine,M574032
574044,Chief of Army,Ernst Jünger,7,Decisive Battle Doctrine,Kaiserreichjunger2
574007,Chief of Staff,Ernst Jünger,7,School of Manoeuvre,Kaiserreichjunger2
574047,Foreign Minister,Ernst Jünger,7,Biased Intellectual,Kaiserreichjunger2
574037,Head of Government,Ernst Jünger,7,Flamboyant Tough Guy,Kaiserreichjunger2
574024,Head of Military Intelligence,Franz Köhl,7,Dismal Enigma,Kaiserreich Franz Köhl
574029,Chief of Army,Hans Hädicke,7,Static Defence Doctrine,Kaiserreich Hädicke
574026,Chief of Staff,Heinrich Kirchheim,7,School of Defence,Kaiserreich HeinrichKirchheim
574002,Head of Government,Heinrich Schnee,7,Naive Optimist,kaiserreich_HeinrichSchnee
574008,Chief of Army,Hermann Detzner,7,Guns and Butter Doctrine,kaiserreichdetzner
574041,Minister of Security,Hermann Detzner,7,Silent Lawyer,kaiserreichdetzner
574031,Chief of Navy,Karl Wendling,7,Indirect Approach Doctrine,Kaiserreich Wendling
574034,Chief of Air Force,Mamadou Diabate,7,Army Aviation Doctrine,Kaiserreich MamadouDiabate
574022,Minister of Security,Michel Micombero,7,Back Stabber,M574022
574051,Chief of Staff,Mohamed Husen,7,School of Psychology,kaiserreichmohamed
574010,Chief of Air Force,Paul Graetz,7,Air Superiority Doctrine,kaiserreichgraetz
574013,Head of Government,Reinhard Maack,7,Naive Optimist,Kaiserreich Reinhard Maack
574045,Chief of Staff,Theodor von Hippel,7,School of Psychology,kaiserreichhippel
574006,Head of Military Intelligence,Theodor von Hippel,7,Dismal Enigma,kaiserreichhippel
574018,Minister of Armament,Zacharias Lewala,7,Laissez-Faire Capitalist,Kaiserreich Lewala
574009,Chief of Navy,Max von Looff,8,Indirect Approach Doctrine,kaiserreichvonloof
574028,Chief of Army,Sepp Dietrich,8,Armoured Spearhead Doctrine,L496
574048,Chief of Air Force,Hermann Göring,9,Carpet Bombing Doctrine,M10
574036,Minister of Armament,Hermann Göring,9,Air to Ground Proponent,Kaiserreich Göring
574003,Foreign Minister,Joachim von Ribbentrop,9,Iron Fisted Brute,M55
574043,Minister of Security,Theodor Eicke,9,Prince of Terror,kaiserreichhippel
