MTN,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
544014,Head of Government,Blazo Jovanovic,1,Ambitious Union Boss,MTN-KR_Jovanovic_Blazo
544043,Minister of Security,Blazo Jovanovic,1,Silent Lawyer,MTN-KR_Jovanovic_Blazo
544034,Chief of Air Force,Bozo Lazarevic,1,Army Aviation Doctrine,MTN-KR_Lazarevic_Bozo
544020,Minister of Armament,Jefto Scepanovic,1,Resource Industrialist,MTN-KR_Jefto_Scepanovic_Cajo
544023,Minister of Security,Jovo Kapicic,1,Efficient Sociopath,MTN-KR_Kapicic_Jovo
544017,Foreign Minister,Milovan Djilas,1,Ideological Crusader,MTN_KR-Milovan_Djilas
544027,Chief of Staff,Peko Dapcevic,1,School of Mass Combat,MTN-KR_peko_dapcevic
544032,Chief of Navy,Pero Popivoda,1,Indirect Approach Doctrine,MTN-KR_Pero_Popivoda
544030,Chief of Army,Sava Kovacevic,1,Decisive Battle Doctrine,MTN-KR_Sava_Kovacevic
544025,Head of Military Intelligence,Svetozar Vukmanovic,1,Political Specialist,MTN-KR_Svetozar_Vukmanovic
544041,Minister of Armament,Svetozar Vukmanovic,1,Infantry Proponent,MTN-KR_Svetozar_Vukmanovic
544016,Foreign Minister,Andrija Radovic,6,Apologetic Clerk,MTN-KR_Andrija_Radovic
544015,Head of Government,Andrija Radovic,6,Silent Workhorse,MTN-KR_Andrija_Radovic
544039,Minister of Armament,Andrija Radovic,6,Infantry Proponent,MTN-KR_Andrija_Radovic
544019,Minister of Armament,Mirko Mijuskovic,6,Resource Industrialist,MTN-KR_Mirko_Mijuskovic
544022,Minister of Security,Savo Vuletic,6,Silent Lawyer,MTN-KR_Savo_Vuletic
544044,Chief of Staff,Bajo Stanisic,7,School of Defence,MTN-KR_bajo_stanisic
544038,Foreign Minister,Jovan Plamenac,7,Iron Fisted Brute,MTN-KR_jovan_plamenac
544013,Head of Government,Jovan Plamenac,7,Backroom Backstabber,MTN-KR_jovan_plamenac
544042,Minister of Security,Jovan Plamenac,7,Back Stabber,MTN-KR_jovan_plamenac
544007,Chief of Staff,Krsto Popovic,7,School of Defence,MTN-KR_Krsto_Zrnov_Popovic
544021,Minister of Security,Krsto Popovic,7,Crime Fighter,MTN-KR_Krsto_Zrnov_Popovic
544018,Minister of Armament,Lazar Mijuskovic,7,Resource Industrialist,MTN-KR_Lazar_Mijuskovic
544005,Minister of Security,Mihailo Ivanovic,7,Silent Lawyer,MTN-KR_Mihajlo_Ivanovic
544028,Chief of Army,Milo Matanovic,7,Guns and Butter Doctrine,MTN-KR_Milo_Matanovic
544031,Chief of Navy,Milo Matanovic,7,Indirect Approach Doctrine,MTN-KR_Milo_Matanovic
544010,Chief of Air Force,Mirko Lalatovic,7,Air Superiority Doctrine,MTN-KR_Mirko_Lalatovic
544024,Head of Military Intelligence,Mirko Lalatovic,7,Technical Specialist,MTN-KR_Mirko_Lalatovic
544008,Chief of Army,Mitar Martinovic,7,Static Defence Doctrine,M544009
544009,Chief of Navy,Mitar Martinovic,7,Base Control Doctrine,M544009
544002,Head of Government,Mitar Martinovic,7,Old General,M544009
544026,Chief of Staff,Pavle Djurisic,7,School of Mass Combat,MTN-KR_Pavle_Djurisic
544029,Chief of Army,Radomir Vesovic,7,Decisive Battle Doctrine,MTN-KR_Radomir_Vesovic
544045,Chief of Navy,Radomir Vesovic,7,Indirect Approach Doctrine,MTN-KR_Radomir_Vesovic
544004,Minister of Armament,Risto Popovic,7,Military Entrepreneur,MTN-KR_Risto_Popovic
544046,Minister of Security,Risto Popovic,7,Crime Fighter,MTN-KR_Risto_Popovic
544006,Head of Military Intelligence,Savo Raspopovic,7,Logistics Specialist,MTN-KR_Savo_raspopovic
544003,Foreign Minister,Sekula Drljevic,7,Ideological Crusader,MTN-KR_Sekula_Drljevic
544001,Head of Government,Sekula Drljevic,7,Naive Optimist,MTN-KR_Sekula_Drljevic
544040,Minister of Armament,Sekula Drljevic,7,Military Entrepreneur,MTN-KR_Sekula_Drljevic
544033,Chief of Air Force,Zaharije Ostojic,7,Army Aviation Doctrine,MTN-KR_Zaharije_Ostojic
