NEP,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
75019,Head of Government,Ganga Lal Shrestha,1,Ambitious Union Boss,NEPLal
75030,Chief of Army,Kunvar Indrajit Singh,1,Elastic Defence Doctrine,NEPKun
75029,Chief of Staff,Kunvar Indrajit Singh,1,School of Mass Combat,NEPKun
75026,Head of Military Intelligence,Bauddha Rishi Mahapragya,3,Dismal Enigma,NEPBau
75034,Head of Government,Bishweshwar Prasad Koirala,3,Naive Optimist,NEPBis
75033,Minister of Armament,Bishweshwar Prasad Koirala,3,Industrialiser,NEPBis
75024,Foreign Minister,Dashrath Chand,3,Ideological Crusader,NEPDas
75018,Head of Government,Dashrath Chand,3,Silent Workhorse,NEPDas
75025,Minister of Security,Dharmachari Guruma,3,Man of the People,NEPGuru
75012,Chief of Staff,Jemadar Pahalman Gurung,3,School of Psychology,NEPJem
75014,Chief of Army,Kharaksing Gurung,3,Guns and Butter Doctrine,NEPKha
75037,Foreign Minister,Matrika Prasad Koirala,3,Great Compromiser,NEPMat
75027,Minister of Armament,Bhajuratna Kansakar,5,Administrative Genius,NEPBha
75020,Foreign Minister,Chittadhar Hridaya,5,Biased Intellectual,NEPChi
75031,Head of Government,Subarna Shamsher Rana,5,Flamboyant Tough Guy,NEPSub
75010,Chief of Air Force,Dhanbahadur Gurung,6,Army Aviation Doctrine,NEPGur
75013,Chief of Army,Maniraj Gurung Sirdar,6,Elastic Defence Doctrine,NEPMani
75021,Head of Government,Maniraj Gurung Sirdar,6,Old General,NEPMani
75011,Chief of Staff,Mansing Gurung,6,School of Psychology,NEPMar
75023,Foreign Minister,Phatte Bahadur Singh,6,Apologetic Clerk,NEPPha
75022,Minister of Armament,Pushpa Sundar Tuladhar,6,Bank President,NEPBus
75009,Chief of Navy,Seoraj Pun Sirdar Bahadur,6,Base Control Doctrine,NEPSir
75006,Head of Military Intelligence,Shamshersing Bohra,6,Logistics Specialist,NEPSha
75002,Head of Government,Dhammalok Mahasthavir,7,Spiritual Leader,NEPDha
75003,Foreign Minister,Dharmaditya Dharmacharya,7,Biased Intellectual,NEPDhar
75008,Chief of Army,Harkabahadur Thapa,7,Static Defence Doctrine,NEPHar
75005,Minister of Security,Jagat Sundar Malla,7,Man of the People,NEPSun
75004,Minister of Armament,Triratna Man Tuladhar,7,Laissez-Faire Capitalist,NEPMan
75015,Chief of Army,Tulbahadur Pun,7,Decisive Battle Doctrine,NEPThu
75007,Chief of Staff,H.R.H Tribhuhvan Bir Bikram Shah,8,School of Defence,NEPTri
