PAR,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
42068,Head of Government,Riccardo Odriosola,1,Backroom Backstabber,M42051
42096,Head of Government,Arnaldo Valdovinos,2,Naive Optimist,PAR_arnaldo_valdovinos
42031,Minister of Armament,Riccardo Odriosola,2,Resource Industrialist,M42051
42034,Minister of Armament,Alejandro Marin,3,Infantry Proponent,M42086
42090,Head of Government,Anselmo Jover Peralta,3,Ambitious Union Boss,PAR_anselmo_jover_peralta
42021,Foreign Minister,Cecilio Báez,3,Iron Fisted Brute,M42072
42015,Head of Government,Eugenio Garay,3,Ambitious Union Boss,M42065
42016,Head of Government,Felix Paiva,3,Smiling Oilman,M42062
42041,Minister of Security,Francisco Esculies,3,Man of the People,M42055
42017,Head of Government,José Estigarribia Insaurralde,3,Happy Amateur,M42063
42060,Chief of Navy,Juan Stefanich,3,Power Projection Doctrine,M42049
42020,Foreign Minister,Juan Stefanich,3,Ideological Crusader,M42049
42087,Head of Government,Juan Stefanich,3,Happy Amateur,M42049
42051,Chief of Staff,Rafael Franco,3,School of Manoeuvre,M42047
42082,Head of Government,Rafael Franco,3,Silent Workhorse,M42047
42045,Head of Military Intelligence,Rafael Nieto,3,Dismal Enigma,M42056
42025,Foreign Minister,Tomas A. Salomoni,3,Ideological Crusader,M42076
42039,Minister of Security,Urribe Chilandro,3,Silent Lawyer,M42091
42040,Minister of Security,Efraim Cardozo,4,Crime Fighter,M42045
42063,Chief of Air Force,Hernan Rojas Baltassare,4,Vertical Envelopment Doctrine,M42050
42056,Chief of Army,Higenio Morinigo Martinez,4,Decisive Battle Doctrine,M42064
42053,Chief of Staff,Higenio Morinigo Martinez,4,School of Mass Combat,M42105
42047,Head of Military Intelligence,Juan Teodoro Decoud,4,Political Specialist,M42099
42033,Minister of Armament,Julio Manuel Morales,4,laissez-faire capitalist,M42085
42094,Head of Government,Carlos Pastore,5,Silent Workhorse,PAR_carlos_pastore
42002,Head of Government,Eusebio Ayala,5,Corporate Suit,M42001
42004,Minister of Armament,Federico Chaves,5,Infantry Proponent,M42004
42007,Chief of Staff,Igor Ern,5,School of Defence,M42007
42081,Head of Government,José Patricio Guggiari,5,Flamboyant Tough Guy,PAR_jose_patricio_guggiari
42003,Foreign Minister,Luís Alberto Riart,5,The Cloak N Dagger Schemer,M42003
42085,Head of Government,Luís Alberto Riart,5,Corporate Suit,M42003
42008,Chief of Army,Manuel T. Aponte,5,Static Defence Doctrine,M42008
42009,Chief of Navy,Manuel T. Aponte,5,Indirect Approach Doctrine,M42008
42005,Minister of Security,Nicolas Delgado,5,Prince of Terror,M42005
42010,Chief of Air Force,Vicente Almonacid,5,Air Superiority Doctrine,M42010
42059,Chief of Army,Alfred Stroessner Matiauda,6,Armoured Spearhead Doctrine,M42114
42074,Head of Government,Alfred Stroessner Matiauda,6,Old General,M42114
42038,Minister of Armament,Alírio Ugarte Díaz,6,Theoretical Scientist,M42090
42058,Chief of Army,Amancio Pampliega,6,Guns and Butter Doctrine,M42048
42029,Foreign Minister,Antonio Alberto Taboada,6,The Cloak N Dagger Schemer,M42081
42046,Head of Military Intelligence,Carlos Sosa,6,Naval Intelligence Specialist,M42098
42024,Foreign Minister,Elías Ayala,6,Biased Intellectual,M42043
42088,Head of Government,Felipe Molas Lopez,6,Silent Workhorse,M42128
42076,Head of Military Intelligence,Felipe Molas Lopez,6,Technical Specialist,M42128
42064,Chief of Air Force,Héctor Velasquez,6,Army Aviation Doctrine,M42124
42049,Head of Military Intelligence,Hugo Estigarribua Elízeche,6,Technical Specialist,M42046
42057,Chief of Army,Isaias Baez Allende,6,Elastic Defence Doctrine,M42112
42062,Chief of Navy,Jesus G. Arraza,6,Base Control Doctrine,M42119
42032,Minister of Armament,José Estigarribia Insaurralde,6,Military Entrepreneur,M42063
42054,Chief of Staff,José Lezcano,6,School of Manoeuvre,M42107
42027,Foreign Minister,Juan Manuel Alvarté,6,Apologetic Clerk,M42079
42055,Chief of Army,Juan Manuel Frutos,6,Elastic Defence Doctrine,M42006
42079,Head of Government,Juan Manuel Frutos,6,Old General,M42006
42006,Head of Military Intelligence,Juan Manuel Frutos,6,Logistics Specialist,M42006
42083,Head of Government,Juan Natalicio Gonzalez,6,Naive Optimist,M42089
42037,Minister of Armament,Juan Natalicio Gonzalez,6,Tank Proponent,M42089
42043,Minister of Security,Justo P. Benitez,6,Compassionate Gentleman,M42095
42023,Foreign Minister,Justo Pastór Prieto,6,Ideological Crusader,M42074
42044,Minister of Security,Luis de Gasperi,6,Silent Lawyer,M42096
42052,Chief of Staff,Manuel T. Aponte,6,School of Fire Support,M42008
42075,Chief of Staff,Raimundo Rolon Villasanti,6,School of Defence,L240022
42019,Head of Government,Raimundo Rolon Villasanti,6,Political Protege,M42069
42050,Head of Military Intelligence,Raúl Sapeña Pastor,6,Dismal Enigma,M42102
42077,Minister of Armament,Remigio Bastia Martín,6,Resource Industrialist,M42133
42036,Minister of Armament,Salvador Villagrán Maffiodo,6,Administrative Genius,M42054
42092,Head of Government,Tomas Romero Pereira,6,old airmarshal,M42134
42078,Minister of Security,Tomas Romero Pereira,6,Prince of Terror,M42134
42048,Head of Military Intelligence,Augusto Saldívar,7,Industrial Specialist,M42100
42030,Foreign Minister,Cesar Augusto Vasconcellos,7,General Staffer,M42082
42061,Chief of Navy,Enrico T. Rizzo,7,Indirect Approach Doctrine,M42118
42018,Head of Government,Higenio Morinigo Martinez,7,Old General,M42064
42028,Foreign Minister,Horacío Chiriani Cotor,7,Ideological Crusader,M42080
42026,Foreign Minister,Luís Avelino Argaña,7,Great Compromiser,M42041
42035,Minister of Armament,Pablo Max Ynsfrán,7,laissez-faire capitalist,M42044
42042,Minister of Security,Vicente Machuca,7,Prince of Terror,M42094
42066,Head of Government,Luís Avelino Argaña,8,old airmarshal,M42041
