PER,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
53143,Head of Military Intelligence,Ja'fer Pishevari,0,Dismal Enigma,M53023
53126,Head of Government,Ardeshir Ovanessian,1,Naive Optimist,PER_ardeshir_ovanessian
53131,Foreign Minister,Ardeshir Ovanessian,1,Ideological Crusader,PER_ardeshir_ovanessian
53155,Chief of Navy,Fyodor Raskolnikov,1,Base Control Doctrine,PER_fyodor_raskolnikov
53127,Head of Government,Haydar Amuogly,1,Backroom Backstabber,PER_haydar_amuogly
53135,Minister of Armament,Haydar Amuogly,1,Resource Industrialist,PER_haydar_amuogly
53139,Minister of Security,Haydar Amuogly,1,Prince of Terror,PER_haydar_amuogly
53144,Head of Military Intelligence,Khosro Roozbeh,1,Logistics Specialist,PER_khosro_roozbeh
53149,Chief of Staff,Khosro Roozbeh,1,School of Fire Support,PER_khosro_roozbeh
53152,Chief of Army,Khosro Roozbeh,1,Decisive Battle Doctrine,PER_khosro_roozbeh
53134,Foreign Minister,Bozorg Alavi,2,Great Compromiser,PER_bozorg_alavi
53140,Minister of Security,Ehsan Tabari,2,Back Stabber,PER_ehsan_tabari
53145,Head of Military Intelligence,Heshmat Taleqani,2,Dismal Enigma,PER_heshmat_taleqani
53138,Minister of Armament,Iraj Eskandari,2,Administrative Genius,PER_iraj_eskandari
53132,Foreign Minister,Maryam Firouz,2,Biased Intellectual,PER_maryam_firouz
53142,Minister of Security,Maryam Firouz,2,Crime Fighter,PER_maryam_firouz
53129,Head of Government,Mirza Kuchik Khan,2,Naive Optimist,PER_mirza_kuchik_khan
53151,Chief of Staff,Mirza Kuchik Khan,2,School of Defence,PER_mirza_kuchik_khan
53153,Chief of Army,Mirza Kuchik Khan,2,Guns and Butter Doctrine,PER_mirza_kuchik_khan
53133,Foreign Minister,Mohammad Farrokhi Yazdi,2,Apologetic Clerk,PER_mohammad_farrokhi_yazdi
53136,Minister of Armament,Noureddin Kianouri,2,Laissez-Faire Capitalist,PER_noureddin_kianouri
53146,Head of Military Intelligence,Noureddin Kianouri,2,Technical Specialist,PER_noureddin_kianouri
