U33,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
755046,Foreign Minister,Aramis Taborda de Atahyde,3,iron fisted brute,U33_aramis_taborda_de_athayde
755057,Minister of Armament,Aramis Taborda de Atahyde,3,Corrupt Kleptocrat,U33_aramis_taborda_de_athayde
755069,Head of Military Intelligence,Constantino Martins,3,Technical Specialist,U33_constantino_martins
755063,Minister of Security,Constantino Martins,3,Silent Lawyer,U33_constantino_martins
755045,Foreign Minister,Moisés Lupion,3,Ideological Crusader,U33_moises_lupion
755056,Minister of Armament,Moisés Lupion,3,Administrative Genius,U33_moises_lupion
755044,Foreign Minister,Nereu Ramos,3,Great Compromiser,U33_nereu_ramos
755031,Head of Government,Nereu Ramos,3,Political Protege,U33_nereu_ramos
755088,Chief of Army,Ruy Zobaran,3,Guns and Butter Doctrine,unknown
755080,Chief of Staff,Ruy Zobaran,3,School of Mass Combat,unknown
755068,Head of Military Intelligence,Ruy Zobaran,3,Logistics Specialist,unknown
755062,Minister of Security,Ruy Zobaran,3,Crime Fighter,unknown
755043,Foreign Minister,Clotário de Macedo Portugal,4,Ideological Crusader,U33_clotario_de_macedo_portugal
755027,Head of Government,Clotário de Macedo Portugal,4,Corporate Suit,U33_clotario_de_macedo_portugal
755067,Head of Military Intelligence,Darcy Pereira de Azambuja,4,Political Specialist,U33_darcy_pereira_de_azambuja
755061,Minister of Security,Darcy Pereira de Azambuja,4,Silent Lawyer,U33_darcy_pereira_de_azambuja
755040,Foreign Minister,Heriberto Hulse,4,Biased Intellectual,U33_heriberto_hulse
755053,Minister of Armament,Heriberto Hulse,4,Resource Industrialist,U33_heriberto_hulse
755092,Chief of Air Force,João Alexandre Busse,4,Army Aviation Doctrine,U33_joao_alexandre_busse
755079,Chief of Staff,João Alexandre Busse,4,School of Defence,U33_joao_alexandre_busse
755042,Foreign Minister,João Alexandre Busse,4,General Staffer,U33_joao_alexandre_busse
755026,Head of Government,João Alexandre Busse,4,Old General,U33_joao_alexandre_busse
755055,Minister of Armament,João Alexandre Busse,4,Air Superiority Proponent,U33_joao_alexandre_busse
755038,Foreign Minister,João Vilas Boas,4,Great Compromiser,U33_joao_villas_boas
755087,Chief of Army,José Cândido da Silva Muricy,4,Decisive Battle Doctrine,U33_jose_candido_da_silva_muricy
755090,Chief of Navy,José Cândido da Silva Muricy,4,Indirect Approach Doctrine,U33_jose_candido_da_silva_muricy
755078,Chief of Staff,José Cândido da Silva Muricy,4,School of Psychology,U33_jose_candido_da_silva_muricy
755041,Foreign Minister,Manuel Ribas,4,Apologetic Clerk,U33_manuel_ribas
755054,Minister of Armament,Manuel Ribas,4,Infantry Proponent,U33_manuel_ribas
755052,Minister of Armament,Protógenes Vieira,4,Laissez-Faire Capitalist,unknown
755028,Head of Government,Sinval Saldanha,4,Silent Workhorse,unknown
755039,Foreign Minister,Valmor Argemiro Ribeiro Branco,4,Great Compromiser,U33_valmor_argemiro_ribeiro_branco
755030,Head of Government,Valmor Argemiro Ribeiro Branco,4,Flamboyant Tough Guy,U33_valmor_argemiro_ribeiro_branco
755029,Head of Government,Vespasiano Barbosa Martins,4,Silent Workhorse,U33_vespasiano_barbosa_martins
