PAN,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
95027,Chief of Staff,Adolfo Gutíerrez Clark,1,School of Defence,M95027
95095,Head of Government,Alciabides Arosemena,5,Corporate Suit,M95095
95037,Head of Government,Arnulfo Arías de la Madrid,5,Corporate Suit,M95032
95080,Chief of Navy,Arturo Osborne Irragá,7,Open Seas Doctrine,M95019
95045,Foreign Minister,Augusto Samuel Boyd,5,Iron Fisted Brute,M95038
95089,Head of Government,Augusto Samuel Boyd,6,Ambitious Union Boss,M95038
95065,Head of Military Intelligence,Baldomero Tarté,7,Logistics Specialist,M95016
95008,Chief of Army,Bolivar Villarino,5,Guns and Butter Doctrine,M95008
95068,Chief of Staff,Bolivar Villarino,6,School of Defence,M95008
95059,Minister of Security,Carlos Mendoza,4,Crime Fighter,M95059
95084,Chief of Air Force,Carlos Zavala,6,Air Superiority Doctrine,M95036
95036,Head of Government,Carlos Zavala,6,Old Admiral,M95036
95004,Minister of Armament,Daniel C. Pinzon,5,laissez-faire capitalist,M95004
95092,Head of Government,Domingo Diaz Arosemena,6,Silent Workhorse,M95091
95074,Chief of Army,Enrico Fabrego Páz,5,Static Defence Doctrine,M95018
95056,Minister of Armament,Enrique Jiménez Brín,4,Tank Proponent,M95035
95100,Minister of Security,Ernesto de la Guardia,6,Compassionate Gentleman,M95100
95063,Head of Military Intelligence,Ernesto Fabréga López,6,Dismal Enigma,M95063
95088,Head of Government,Ezequeil Fernandez Jaen,6,Smiling Oilman,M95006
95006,Head of Military Intelligence,Ezequeil Fernandez Jaen,5,Dismal Enigma,M95006
95029,Chief of Navy,Ferdinando Hernandez Ytuarte,2,Power Projection Doctrine,M95029
95022,Head of Government,Floyd N. Britton sr.,1,Happy Amateur,M95021
95024,Minister of Armament,Floyd N. Britton sr.,1,Administrative Genius,M95021
95002,Head of Government,Harmodio Arías de la Madrid,5,Corporate Suit,M95001
95101,Chief of Staff,Henrique de Obarrio,6,School of Mass Combat,M95093
95093,Minister of Security,Henrique de Obarrio,6,Back Stabber,M95093
95051,Foreign Minister,Hermaño Castillo Ballidó,6,Apologetic Clerk,M95051
95050,Foreign Minister,Horacío Alfaro Díaz,7,General Staffer,M95050
95066,Head of Military Intelligence,Ignacio C. Garces,4,Naval Intelligence Specialist,M95066
95057,Minister of Armament,Ignacio E. Mendoza,6,Infantry Proponent,M95005
95005,Minister of Security,Ignacio E. Mendoza,4,Back Stabber,M95005
95012,Head of Government,José Augustin Arango,7,Old General,M95011
95062,Minister of Security,José Avila,6,Crime Fighter,M95062
95071,Chief of Staff,José Gomez Ayan,4,School of Fire Support,M95071
95042,Foreign Minister,José Lefebvré de la Ossa,6,Great Compromiser,M95042
95067,Head of Military Intelligence,José Lefebvré de la Ossa,6,Industrial Specialist,M95042
95053,Minister of Armament,José Pezet,4,Resource Industrialist,M95053
95009,Chief of Navy,Juan A. Hernandez,4,Decisive Naval Battle Doctrine,M95009
95044,Foreign Minister,Juan Demosthenes Arosemana,6,The Cloak N Dagger Schemer,M95031
95083,Chief of Air Force,Juan José Parada,5,Air Superiority Doctrine,M95020
95069,Chief of Staff,Juan José Parada,4,School of Manoeuvre,M95020
95060,Minister of Security,Juan Remon,6,Man of the People,M95007
95010,Chief of Air Force,Juan Remón,5,Naval Aviation Doctrine,M95007
95073,Chief of Army,Juan Remón,6,Guns and Butter Doctrine,M95007
95007,Chief of Staff,Juan Remón,4,School of Psychology,M95007
95097,Head of Government,Juan Remón,6,Old General,M95007
95023,Foreign Minister,Luís Costa Arías,2,Ideological Crusader,M95023
95039,Head of Government,Manuel D. Granados,4,Silent Workhorse,M95039
95028,Chief of Army,Manuel Ríos Urribe,2,Armoured Spearhead Doctrine,M95028
95082,Chief of Air Force,Marcos A. Gelabert,6,Army Aviation Doctrine,M95082
95030,Chief of Air Force,Margarita Belloso Jímenez,1,Vertical Envelopment Doctrine,M95030
95003,Foreign Minister,Narciso Garay Díaz,4,Ideological Crusader,M95003
95086,Chief of Air Force,Nestor Urribe Suarez,6,Carpet Bombing Doctrine,M95052
95052,Minister of Armament,Nestor Urribe Suarez,6,Infantry Proponent,M95052
95061,Minister of Security,Nicolas Ardito Barletta,4,Compassionate Gentleman,M95061
95047,Foreign Minister,Octavio Fábrega López,6,Iron Fisted Brute,M95047
95077,Chief of Army,Omar Torrijos,7,Armoured Spearhead Doctrine,M95077
95070,Chief of Staff,Pacificio Marciaga,7,School of Psychology,M95017
95098,Foreign Minister,Pietro del Oramio,6,Biased Intellectual,M95098
95058,Minister of Security,Raoul Arias Amador,6,Man of the People,M95015
95041,Foreign Minister,Raul de Roux y García,5,Biased Intellectual,M95041
95046,Foreign Minister,Riccardo de la Guardia,7,Biased Intellectual,M95013
95049,Foreign Minister,Roberto Jímenez de Roux,5,Great Compromiser,M95049
95048,Foreign Minister,Samuel Luis Aranga,7,Great Compromiser,M95048
95064,Head of Military Intelligence,Victor Pareja,4,Industrial Specialist,M95025
95025,Minister of Security,Victor Pareja,1,Crooked Kleptocrat,M95025
