IND,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
59088,Head of Military Intelligence,Maharaja K. S. Digvijaysinhji,3,Logistics Specialist,PAKDigv
59046,Minister of Security,Burgula Ramakrishna Rao,4,Man of the People,INDBur
59087,Chief of Staff,Umed Singh II of Kotah,4,School of Defence,PAKUme
59060,Head of Government,Madapati Hanumantha Rao,5,Naive Optimist,INDMad
59065,Foreign Minister,Shri Khwaja Moin ud-din Khan,5,Great Compromiser,INDKwh
59035,Chief of Air Force,Abdul Naeem Aziz,6,Army Aviation Doctrine,INDAzi
59052,Head of Government,Akbar Hydari,6,Corporate Suit,INDAkb
59019,Minister of Armament,Akbar Hydari,6,Keynesian Economy,INDAkb
59075,Foreign Minister,C.S. Ranga Iyer,6,Great Compromiser,U35CSR
59080,Minister of Armament,Cattamanchi Ramalinga Reddy,6,Resource Industrialist,INDCat
59069,Head of Government,Chithira Thirunal Balarama Varma,6,Ambitious Union Boss,INDChi
59063,Minister of Security,Harilal Jekisundas Kania,6,Back Stabber,INDJek
59039,Chief of Air Force,Hrushikesh Moolgavkar,6,Air Superiority Doctrine,INDMoo
59038,Chief of Air Force,Jagdish Chandra Varma,6,Vertical Envelopment Doctrine,INDVar
59091,Foreign Minister,K. M. Panikkar,6,Great Compromiser,INDKMP
59092,Minister of Security,K. M. Panikkar,6,Health and Safety,INDKMP
59059,Foreign Minister,Kazi Zainul Abedin,6,Great Compromiser,INDKaz
59083,Chief of Staff,Khengarji III Sawai Bahadur,6,School of Defence,PAKKhen
59086,Minister of Security,Khengarji III Sawai Bahadur,6,Compassionate Gentleman,PAKKhen
59090,Minister of Armament,M. K. Vellodi,6,Industrialiser,INDVel
59084,Chief of Staff,Maharaja Ranbir Singh,6,School of Psychology,PAKRanbir
59094,Foreign Minister,Maharaja Srish Kumar Nandy,6,Ideological Crusader,INDSKN
59093,Minister of Armament,Maharaja Srish Kumar Nandy,6,Mixed Economy,INDSKN
59013,Head of Government,Mirza Muhammad Ismail,6,Silent Workhorse,INDMirz
59061,Minister of Armament,Muhammad Raziuddin Siddiqui,6,Laissez-Faire Capitalist,INDRaz
59057,Head of Government,Nawab Fazal Nawaz Jung Bahadur,6,Smiling Oilman,INDFaz
59058,Minister of Armament,Nawab Fazal Nawaz Jung Bahadur,6,Balanced Budget Economy,INDFaz
59053,Minister of Armament,Nawab Mir Alam Ali Khan,6,Administrative Genius,INDAla
59029,Chief of Staff,Rajendrasinhji Jadeja,6,School of Manoeuvre,INDRaj
59026,Head of Military Intelligence,Rajendrasinhji Jadeja,6,Logistics Specialist,INDRaj
59071,Chief of Staff,Rao Raja Kalyan Singh Bahadur,6,School of Defence,INDKal
59062,Chief of Air Force,Shri Krishna Chandra Welingkar,6,Air Superiority Doctrine,INDWel
59036,Chief of Air Force,Syed Abbas Hussain,6,Carpet Bombing Doctrine,INDAbb
59066,Chief of Air Force,Yeshwantrao Martandrao Mukne,6,Carpet Bombing Doctrine,INDYes
59042,Chief of Navy,Adhar Kumar Chatterjee,7,Indirect Approach Doctrine,INDCha
59021,Minister of Armament,Aga Khan III,7,Laissez-Faire Capitalist,INDAga
