PRU,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
39022,Head of Government,Lodovico Rovino Morales,0,Old Airmarshal,M39021
39039,Foreign Minister,Eduardo Cantabria Gomez,1,Great Compromiser,M39023
39024,Head of Government,Augusto Leguia Swayne,2,Happy Amateur,M39034
39084,Head of Military Intelligence,Alberto Ayala y Lacroix,3,Dismal Enigma,M39089
39100,Chief of Staff,Alberto Hurtado Abadia,3,School of Defence,M39108
39123,Chief of Air Force,Alberto Lopez Flores,3,Vertical Envelopment Doctrine,M39030
39073,Minister of Security,Antonio Rodríguez Ramírez,3,Compassionate Gentleman,M39079
39096,Chief of Staff,Bernardo Palacios y Montecinos,3,School of Fire Support,M39016
39094,Head of Military Intelligence,Bernardo Palacios y Montecinos,3,Technical Specialist,M39016
39067,Minister of Armament,Constantino Carvallo,3,Strategic Air Proponent,M39024
39031,Head of Government,David S. Ocampo,3,Ambitious Union Boss,M39044
39057,Minister of Armament,David S. Ocampo,3,Military Entrepreneur,M39044
39124,Chief of Air Force,Eduardo Cantabria Gomez,3,Army Aviation Doctrine,M39023
39105,Chief of Army,Eloy G. Ureta,3,Guns and Butter Doctrine,M39036
39117,Chief of Navy,Felipe Tudela,3,Open Seas Doctrine,M39013
39081,Minister of Security,Ildefonso Ballón Beltrán,3,Efficient Sociopath,M39087
39116,Chief of Navy,Juan Poncé Diaz,3,Base Control Doctrine,M39027
39099,Chief of Staff,Juan Poncé Diaz,3,School of Psychology,M39027
39065,Minister of Armament,Luis Ramírez Ortiz,3,Infantry Proponent,M39071
39051,Foreign Minister,Manuel Prado y Ugarteche,3,Apologetic Clerk,M39032
39112,Chief of Navy,Manuel R. Nieto,3,Open Seas Doctrine,M39120
39056,Minister of Armament,Manuel Vásquez Díaz,3,Air to Ground Proponent,M39062
39079,Minister of Security,Maximó Silva,3,Crime Fighter,M39085
39088,Head of Military Intelligence,Miguel Montero y Tirado,3,Political Specialist,M39093
39103,Chief of Army,Oscar Gilardi,3,Static Defence Doctrine,M39006
