ROM,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
22053,Minister of Security,Aurel Aldea,6,Back Stabber,M22109
22062,Chief of Staff,Constantin Pantazi,6,School of Defence,M22126
22045,Foreign Minister,Constantin Visoianu,6,The Cloak N Dagger Schemer,M22079
22057,Head of Military Intelligence,Gheorghe Savoia,6,Logistics Specialist,M22117
22040,Foreign Minister,Ion Gigurtu,6,Ideological Crusader,M22047
22008,Chief of Army,Marin Ceausu,6,Static Defence Doctrine,M22008
22060,Chief of Staff,Mihail Racovita,6,School of Manoeuvre,M22096
22050,Minister of Armament,Mihail Racovita,6,Infantry Proponent,M22096
22005,Minister of Security,Cesare Vaida-Voievod,7,Crime Fighter,M22100
22010,Chief of Air Force,Dante Vizante,7,Air Superiority Doctrine,M22010
22061,Chief of Staff,Florea Tenescu,7,School of Defence,M22124
22067,Chief of Army,Gheorghe Mihail,7,Decisive Battle Doctrine,M22136
22044,Foreign Minister,Grigore Niculescu-Buzesti,7,Apologetic Clerk,M22078
22009,Chief of Navy,Horia Macellariu,7,Indirect Approach Doctrine,M22019
22052,Minister of Security,Ion Boiteanu,7,Man of the People,M22107
22033,Head of Government,Miron Cristea,7,Ambitious Union Boss,M22042
22039,Foreign Minister,Nicolae Petrescu-Comnen,7,Apologetic Clerk,M22070
22071,Chief of Navy,Nicolae Sova,7,Base Control Doctrine,M22151
22056,Head of Military Intelligence,Nicolae Stoenescu,7,Political Specialist,M22095
22049,Minister of Armament,Nicolae Stoenescu,7,Tank Proponent,M22095
22073,Chief of Air Force,Paul Teodorescu,7,Carpet Bombing Doctrine,M22159
22002,Head of Government,Alexander Cuza,8,Backroom Backstabber,kai_accza
22051,Minister of Security,David Popescu,8,Prince of Terror,M22106
22072,Chief of Air Force,Emil Gheorghiu,8,Air Superiority Doctrine,M22158
22048,Minister of Armament,Gheorghe Dobre,8,Infantry Proponent,M22094
22047,Minister of Armament,Gheorghe Potopeanu,8,Military Entrepreneur,M22093
22068,Chief of Army,Ilie Steflea,8,Guns and Butter Doctrine,M22139
22070,Chief of Navy,Ioan Georgescu,8,Indirect Approach Doctrine,M22150
22058,Head of Military Intelligence,Iosif Iacobici,8,Logistics Specialist,M22118
22043,Foreign Minister,Mihai Antonescu,8,The Cloak N Dagger Schemer,M22077
22041,Foreign Minister,Mihail Sturdza,8,Ideological Crusader,M22013
22006,Head of Military Intelligence,Petre Antonescu,8,Dismal Enigma,M22119
22063,Chief of Staff,Radu Korne,8,School of Manoeuvre,M22128
22069,Chief of Army,Alexandru Ioanitiu,9,Armoured Spearhead Doctrine,M22018
22004,Minister of Armament,Constantin Papanace,9,Administrative Genius,M22014
22046,Foreign Minister,Corneliu Codreanu,9,Ideological Crusader,M22053
22037,Head of Government,Corneliu Codreanu,9,Flamboyant Tough Guy,M22053
22059,Head of Military Intelligence,Eugen Cristescu,9,Dismal Enigma,M22016
22065,Chief of Staff,Gheorghe Argeseanu,9,School of Fire Support,M22133
22074,Head of Government,Horia Sima,9,Flamboyant Tough Guy,kaiserreich_horiasima
22054,Minister of Security,Horia Sima,9,Efficient Sociopath,kaiserreich_horiasima
22066,Chief of Staff,Ion Antonescu,9,School of Psychology,M22012
22003,Foreign Minister,Ion Antonescu,9,General Staffer,M22012
22034,Head of Government,Ion Antonescu,9,Old General,M22007
22055,Minister of Security,Ion Petrovicescu,9,Efficient Sociopath,M22015
22064,Chief of Staff,Platon Chirnoaga,9,School of Psychology,M22132
22038,Foreign Minister,Victor Antonescu,9,General Staffer,M22007
