URU,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
22381,Foreign Minister,Ana Pauker,0,Ideological Crusader,M22023
22383,Foreign Minister,Constantin I. Parhon,0,Great Compromiser,M22038
22444,Chief of Army,Damian Rascu,0,Armoured Spearhead Doctrine,M22028
22421,Head of Military Intelligence,Demetre Jancovici,0,Political Specialist,M22026
22461,Chief of Air Force,Emanoil Ionescu,0,Army Aviation Doctrine,M22030
22352,Head of Government,Gheorghe Gheorghiu-Dej,0,Political Protege,M22052
22453,Chief of Navy,Gheorghe Iliesca,0,Power Projection Doctrine,M22029
22431,Chief of Staff,Mihail Lascar,0,School of Mass Combat,M22027
22351,Head of Government,Petru Groza,0,Backroom Backstabber,M22022
22422,Head of Military Intelligence,Serghei Nicolau,0,Technical Specialist,M22122
22463,Foreign Minister,Simon Bughici,0,Apologetic Clerk,M22163
22412,Minister of Security,Teohari Georgescu,0,Back Stabber,M22025
22398,Minister of Armament,Vasile Luca,0,Administrative Genius,M22024
22466,Foreign Minister,Elena Vararesco,3,General Staffer,Elena_Vararesco
22386,Foreign Minister,Georges Oprescu,3,Biased Intellectual,M22086
22384,Foreign Minister,Iuliu Hossu,3,Great Compromiser,M22084
22355,Head of Government,Iuliu Maniu,3,Naive Optimist,M22055
22343,Head of Government,Armand Calinescu,4,Smiling Oilman,M22043
22399,Minister of Security,Armand Calinescu,4,Prince of Terror,M22043
22392,Minister of Armament,Constantin Antoniade,4,laissez-faire capitalist,M22092
22345,Head of Government,Constantin Argetoianu,4,Political Protege,M22045
22435,Chief of Army,Costin Ionascu,4,Static Defence Doctrine,M22135
22344,Head of Government,Gheorghe Argeseanu,4,Silent Workhorse,M22044
22371,Foreign Minister,Grigore Gafencu,4,Biased Intellectual,M22071
22413,Head of Military Intelligence,Helene Vacaresco,4,Dismal Enigma,M22113
22425,Chief of Staff,Ioan Ilcusu,4,School of Defence,M22125
22347,Head of Government,Ion Gigurtu,4,Corporate Suit,M22047
22401,Minister of Security,Ion Mihalache,4,Man of the People,M22101
22358,Foreign Minister,Istrate Micescu,4,Great Compromiser,M22005
22374,Foreign Minister,Mihail Manoilescu,4,Apologetic Clerk,M22074
22423,Chief of Staff,Mihail Racovitza,4,School of Manoeuvre,M22096
22415,Head of Military Intelligence,Nicolas Titulesco,4,Industrial Specialist,M22115
22341,Head of Government,Octavian Goga,4,Happy Amateur,M22041
22404,Minister of Security,Vasile Goldis,4,Man of the People,M22104
22387,Minister of Armament,Virgil Madgearu,4,Administrative Genius,M22087
22409,Minister of Security,Aurel Aldea,6,Back Stabber,M22109
22373,Foreign Minister,Constantin Argetoianu,6,General Staffer,M22045
22356,Head of Government,Constantin Bratianu,6,Corporate Suit,M22004
22304,Minister of Armament,Constantin Bratianu,6,Resource Industrialist,M22004
22426,Chief of Staff,Constantin Pantazi,6,School of Defence,M22126
22379,Foreign Minister,Constantin Visoianu,6,The Cloak N Dagger Schemer,M22079
22310,Chief of Air Force,Dante Vizante,6,Air Superiority Doctrine,M22010
22417,Head of Military Intelligence,Gheorghe Savoia,6,Logistics Specialist,M22117
22438,Chief of Army,Gheorghe Tatarescu,6,Guns and Butter Doctrine,M22138
22302,Head of Government,Gheorghe Tatarescu,6,Silent Workhorse,M22002
22460,Chief of Air Force,Gheorghe Vasiliu,6,Naval Aviation Doctrine,M22160
22430,Chief of Staff,Gheorghe-Sinaia Ionescu,6,School of Defence,M22130
22372,Foreign Minister,Ion Gigurtu,6,Ideological Crusader,M22047
22305,Minister of Security,Istrate Micescu,6,Silent Lawyer,M22005
22391,Minister of Armament,Iuliu Maniu,6,Administrative Genius,M22055
22308,Chief of Army,Marin Ceausu,6,Static Defence Doctrine,M22008
22306,Head of Military Intelligence,Mihail Moruzov,6,Logistics Specialist,M22006
22396,Minister of Armament,Mihail Racovitza,6,Infantry Proponent,M22096
22309,Chief of Navy,Nicolae Caranfil,6,Decisive Naval Battle Doctrine,M22009
22443,Chief of Army,Nicolae Radescu,6,Decisive Battle Doctrine,M22050
22350,Head of Government,Nicolae Radescu,6,Happy Amateur,M22050
22408,Minister of Security,Nicolae Radescu,6,Compassionate Gentleman,M22050
22303,Foreign Minister,Nicolae Titulescu,6,Great Compromiser,M22003
22452,Chief of Navy,Nicolai Duca di Silvania,6,Open Seas Doctrine,M22152
22357,Foreign Minister,Victor Antonescu,6,Great Compromiser,
22388,Minister of Armament,Caius Brediceanu,7,laissez-faire capitalist,M22088
22400,Minister of Security,Cesare Vaida-Voievod,7,Crime Fighter,M22100
22442,Chief of Army,Constantin Sanatescu,7,Elastic Defence Doctrine,M22049
22429,Chief of Staff,Constantin Sanatescu,7,School of Fire Support,M22049
22349,Head of Government,Constantin Sanatescu,7,Old General,M22049
22424,Chief of Staff,Florea Tenescu,7,School of Defence,M22124
22455,Chief of Air Force,Gheorghe Jienescu,7,Army Aviation Doctrine,M22020
22436,Chief of Army,Gheorghe Mihail,7,Decisive Battle Doctrine,M22136
22359,Foreign Minister,Gheorghe Tatarescu,7,Iron Fisted Brute,M22002
22378,Foreign Minister,Grigore Niculesco-Buzesti,7,Apologetic Clerk,M22078
22447,Chief of Navy,Horia Macellariu,7,Indirect Approach Doctrine,M22019
22407,Minister of Security,Ion Boiteanu,7,Man of the People,M22107
22342,Head of Government,Miron Cristea,7,Ambitious Union Boss,M22042
22370,Foreign Minister,Nicolae Petrescu-Comnen,7,Apologetic Clerk,M22070
22451,Chief of Navy,Nicolae Sova,7,Base Control Doctrine,M22151
22414,Head of Military Intelligence,Nicolae Stoenescu,7,Political Specialist,M22095
22395,Minister of Armament,Nicolae Stoenescu,7,Tank Proponent,M22095
22459,Chief of Air Force,Paul Teodorescu,7,Carpet Bombing Doctrine,M22159
22406,Minister of Security,David Popescu,8,Prince of Terror,M22106
22458,Chief of Air Force,Ermil Gheorghiu,8,Air Superiority Doctrine,M22158
22394,Minister of Armament,Gheorghe Dobre,8,Infantry Proponent,M22094
22393,Minister of Armament,Gheorghe Potopeanu,8,Military Entrepreneur,M22093
22439,Chief of Army,Ilie Steflea,8,Guns and Butter Doctrine,M22139
22450,Chief of Navy,Ioan Georgescu,8,Indirect Approach Doctrine,M22150
22307,Chief of Staff,Ion Antonescu,8,School of Psychology,M22007
22376,Foreign Minister,Ion Antonescu,8,General Staffer,M22007
22348,Head of Government,Ion Antonescu,8,Old General,M22007
22418,Head of Military Intelligence,Iosif Iacobici,8,Logistics Specialist,M22118
22377,Foreign Minister,Mihai Antonescu,8,The Cloak N Dagger Schemer,M22077
22375,Foreign Minister,Mihail Sturdza,8,Ideological Crusader,M22013
22419,Head of Military Intelligence,Petre Antonescu,8,Dismal Enigma,M22119
22428,Chief of Staff,Radu Korne,8,School of Manoeuvre,M22128
22427,Chief of Staff,Victor Antonescu,8,School of Mass Combat,M22007
22445,Chief of Army,Alexandru Ioanitiu,9,Armoured Spearhead Doctrine,M22018
22397,Minister of Armament,Constantin Papanace,9,Administrative Genius,M22014
22382,Foreign Minister,Corneliu Codreanu,9,Ideological Crusader,M22053
22353,Head of Government,Corneliu Codreanu,9,Flamboyant Tough Guy,M22053
22420,Head of Military Intelligence,Eugen Cristescu,9,Dismal Enigma,M22016
22433,Chief of Staff,Gheorghe Argeseanu,9,School of Fire Support,M22133
22354,Head of Government,Horia Sima,9,Happy Amateur,kaiserreich_horiasima
22410,Minister of Security,Horia Sima,9,Efficient Sociopath,kaiserreich_horiasima
22411,Minister of Security,Ion Petrovicescu,9,Efficient Sociopath,M22015
22432,Chief of Staff,Platon Chirnoaga,9,School of Psychology,M22132
