SCO,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
561028,Chief of Navy,Anthony Stokes,2,Indirect Approach Doctrine,L1391
561016,Foreign Minister,Donald Cardross Erskine,2,Iron Fisted Brute,M561016
561014,Head of Government,Ignatius R. Dunnachie,2,Happy Amateur,M561014
561020,Minister of Security,Malcolm MacDonald,2,Compassionate Gentleman,M561020
561022,Head of Military Intelligence,Marie Carmichael Stopes,2,Technical Specialist,M561022
561030,Chief of Air Force,P.S. Sholto-Douglas,2,Carpet Bombing Doctrine,L1479
561018,Minister of Armament,Peter Drummond MacDonald,2,Military Entrepreneur,M561018
561024,Chief of Staff,Richard McCreery,2,School of Manoeuvre,L1216
561026,Chief of Army,W.M. St.George Kirke,2,Decisive Battle Doctrine,L1181
561033,Foreign Minister,William Gallacher,2,Ideological Crusader,M561033
561034,Minister of Security,James Moxton,3,Silent Lawyer,M561034
561031,Minister of Armament,George Buchanan,4,Resource Industrialist,M561031
561035,Minister of Security,David Maxwell Fyfe,5,Compassionate Gentleman,M1085
561005,Minister of Security,Herbrand Earl de la Warr,5,Back Stabber,M561005
561004,Minister of Armament,James Fitzwarenne DeSpencer,5,Battle Fleet Proponent,M561004
561006,Head of Military Intelligence,John Baron Kinross,5,Dismal Enigma,M561006
561002,Head of Government,John Stuart Lord Borthwick,5,Silent Workhorse,M561002
561003,Foreign Minister,Lucius Plantagenet Falkland,5,Great Compromiser,M561003
561010,Chief of Air Force,Owen Boyd,5,Army Aviation Doctrine,L1418
561007,Chief of Staff,Philip Maxwell Balfour,5,School of Psychology,L1018
561008,Chief of Army,S.T. Hakewill-Smith,5,Elastic Defence Doctrine,L1152
561032,Chief of Air Force,Sir Hugh Dowding,5,Air Superiority Doctrine,L1435
561009,Chief of Navy,T.L. Bruce-Fraser,5,Open Seas Doctrine,L1328
561025,Chief of Army,Andrew McCulloch,7,Static Defence Doctrine,L1217
561015,Foreign Minister,Charles Duke of Gordon,7,General Staffer,M561015
561019,Minister of Security,Charles Earl Breadalbane,7,Man of the People,M561019
561021,Head of Military Intelligence,Charles Earl of Southesk,7,Logistics Specialist,M561021
561037,Foreign Minister,Douglas Duke of Hamilton,7,The Cloak N Dagger Schemer,M561037
561027,Chief of Navy,Geoffrey Layton,7,Decisive Naval Battle Doctrine,L1364
561023,Chief of Staff,Harold Franklyn,7,School of Defence,L1127
561042,Head of Government,Ian Campbell Gray,7,Happy Amateur,M561017
561017,Minister of Armament,Ian Campbell Gray,7,Resource Industrialist,M561017
561013,Head of Government,James Duke of Abercorn,7,Backroom Backstabber,M561013
561029,Chief of Air Force,Perry Keene,7,Naval Aviation Doctrine,L1453
561036,Foreign Minister,Archibald Ramsay,8,Iron Fisted Brute,M1054
