SER,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
547030,Head of Military Intelligence,Aleksandar Rankovic,1,Political Specialist,SER-KR_Aleksandar_Rankovic
547047,Minister of Security,Aleksandar Rankovic,1,Prince of Terror,SER-KR_Aleksandar_Rankovic
547033,Chief of Staff,Arso Jovanovic,1,School of Fire Support,M20075
547102,Minister of Armament,Jovan Veselinov,1,Infantry Proponent,kaijovvesel
547035,Chief of Army,Koca Popovic,1,Elastic Defence Doctrine,SER-KR_Koca_Popovic
547117,Chief of Staff,Koca Popovic,1,School of Manoeuvre,SER-KR_Koca_Popovic
547106,Foreign Minister,Kosta Novakovic,1,Ideological Crusader,SER-KR_Kosta_Novakovic
547112,Minister of Armament,Milentije Popovic,1,Resource Industrialist,SER-KR_Milentije_Popovic
547016,Foreign Minister,Mosa Pijade,1,Biased Intellectual,SER-KR_Mosa_Pijade
547113,Minister of Armament,Mosa Pijade,1,Military Entrepreneur,SER-KR_Mosa_Pijade
547048,Head of Military Intelligence,Mustafa Golubic,1,Political Specialist,SER-KR_Mustafa_Golubic
547103,Minister of Armament,Pavle Savic,1,Theoretical Scientist,SER-KR_Pavle_Savic2
547051,Head of Government,Rade Koncar,1,Silent Workhorse,M10000000012
547013,Head of Government,Sima Markovic,1,Silent Workhorse,SER-KR_Sima_Markovic
547083,Minister of Security,Slobodan Penezic,1,Efficient Sociopath,SER-KR_Slobodan_Penezic_Krcun_
547118,Chief of Army,Sreten Zujovic,1,Guns and Butter Doctrine,SER-KR_Sreten_Zujovic_Crni
547020,Minister of Armament,Sreten Zujovic,1,Military Entrepreneur,SER-KR_Sreten_Zujovic_Crni
547026,Minister of Security,Trisa Kaclerovic,1,Silent Lawyer,SER-KR_Trisa_Kaclerovic
547049,Foreign Minister,Vladimir Dedijer,1,Ideological Crusader,M10000000010
547039,Chief of Navy,Zarko Zrenjanin,1,Base Control Doctrine,M10000000004
547056,Chief of Air Force,Mileta Protic,2,Army Aviation Doctrine,SER-KR_Mileta_Protic
547078,Foreign Minister,Stanoje Simic,2,Apologetic Clerk,M20023
547111,Minister of Armament,Dragisa Lapcevic,3,Resource Industrialist,SER-KR_Dragisa_Lapcevic
547100,Minister of Security,Dragoljub Jovanovic,3,Man of the People,SER-KR_Dragoljub_Jovanovic
547116,Foreign Minister,Milos Moskovljevic,3,Biased Intellectual,SER-KR_Milos_Moskovljevic
547105,Foreign Minister,Zivko Topalovic,3,Biased Intellectual,SER-KR_Zivko_Topalovic
547067,Minister of Armament,Kosta Kumanudi,4,Bank President,kaikostkum
547065,Head of Government,Ljubomir Davidovic,4,Silent Workhorse,kailjubomdav
547093,Minister of Security,Ljubomir Davidovic,4,Compassionate Gentleman,kailjubomdav
547017,Foreign Minister,Milan Grol,4,Biased Intellectual,M20042
547014,Head of Government,Milan Grol,4,Naive Optimist,M20042
547096,Minister of Armament,Milorad Draskovic,4,Resource Industrialist,SER-KR_Milorad-Draskovic
547028,Minister of Security,Milorad Draskovic,4,Crime Fighter,SER-KR_Milorad-Draskovic
547066,Foreign Minister,Svetozar Pribicevic,4,Ideological Crusader,kaisvetozpri
547070,Foreign Minister,Bozidar Puric,5,Great Compromiser,M20043
547071,Head of Military Intelligence,Bozidar Puric,5,Technical Specialist,M20043
547031,Head of Military Intelligence,Dusan Popov,5,Technical Specialist,M10000000002
547115,Minister of Security,Mihailo Konstantinovic,5,Silent Lawyer,SER-KR_Mihailo-Konstantinovic
547101,Minister of Armament,Milutin Milankovic,5,Theoretical Scientist,SER-KR_Milutin_Milankovic
547077,Foreign Minister,Vojislav Marinkovic,5,Ideological Crusader,SER-KR_Vojislav_Marinkovic
547023,Minister of Armament,Vojislav Marinkovic,5,Laissez-Faire Capitalist,SER-KR_Vojislav_Marinkovic
547019,Minister of Armament,Bogdan Markovic,6,Bank President,SER-KR_Bogdan_Markovic
547036,Chief of Army,Bogoljub Ilic,6,Static Defence Doctrine,SER-KR_Bogoljub_Ilic
547040,Chief of Air Force,Borivoje Mirkovic,6,Air Superiority Doctrine,SER-KR_Borivoje_Mirkovic
547027,Minister of Security,Bozidar Maksimovic,6,Crime Fighter,SER-KR_Bozidar_Maksimovic
547107,Foreign Minister,Jovan Jovanovic Pizon,6,Biased Intellectual,SER-KR_Jovan_Jovanovic-Pizon
547079,Foreign Minister,Milan Gavrilovic,6,Great Compromiser,SER-KR_Milan_Gavrilovic
547108,Minister of Security,Milan Gavrilovic,6,Silent Lawyer,SER-KR_Milan_Gavrilovic
547099,Head of Government,Milos Trifunovic,6,Naive Optimist,SER-KR_Milos_Trifunovic
547082,Minister of Security,Milos Trifunovic,6,Compassionate Gentleman,SER-KR_Milos_Trifunovic
547018,Foreign Minister,Momcilo Nincic,6,Great Compromiser,kaimocninc
547072,Head of Military Intelligence,Momcilo Nincic,6,Industrial Specialist,kaimocninc
547022,Minister of Armament,Momcilo Nincic,6,Bank President,kaimocninc
547069,Head of Government,Nikola Uzunovic,6,Silent Workhorse,kainikuzun
547110,Foreign Minister,Ninko Peric,6,Apologetic Clerk,SER-KR_Ninko_Peric
547080,Minister of Armament,Ninko Peric,6,Resource Industrialist,SER-KR_Ninko_Peric
547003,Foreign Minister,Aleksandar Cincar-Markovic,7,Apologetic Clerk,SER-KR_Aleksandar_Cincar-Markovic
547015,Foreign Minister,Bogoljub Jevtic,7,Ideological Crusader,M20004
547097,Head of Government,Bogoljub Jevtic,7,Happy Amateur,M20004
547006,Head of Military Intelligence,Borivoje Josimovic,7,Logistics Specialist,L46013
547002,Head of Government,Dragisa Cvetkovic,7,Corporate Suit,M20032
547021,Minister of Armament,Dragisa Cvetkovic,7,Laissez-Faire Capitalist,M20032
547005,Minister of Security,Dragisa Cvetkovic,7,Silent Lawyer,M20032
547119,Chief of Army,Dragutin Gavrilovic,7,Static Defence Doctrine,SER-KR_Dragutin_Gavrilovic
547044,Chief of Army,Draza Mihailovic,7,Elastic Defence Doctrine,M10000000005
547045,Chief of Staff,Draza Mihailovic,7,School of Manoeuvre,M10000000005
547010,Chief of Air Force,Dusan Simovic,7,Army Aviation Doctrine,L46060
547062,Head of Government,Dusan Simovic,7,Happy Amateur,M20033
547086,Chief of Army,Ljubomir Maric,7,Guns and Butter Doctrine,SER-KR_Ljubomir_Maric
547087,Chief of Staff,Ljubomir Maric,7,School of Defence,SER-KR_Ljubomir_Maric
547109,Minister of Armament,Milan Srskic,7,Corrupt Kleptocrat,SER-KR_Milan_Srskic
547076,Minister of Security,Milan Srskic,7,Back Stabber,SER-KR_Milan_Srskic
547004,Minister of Armament,Milan Stojadinovic,7,Resource Industrialist,kaimilstojd
547055,Chief of Air Force,Milojko Jankovic,7,Army Aviation Doctrine,SER-KR_Milojko_Jankovic
547008,Chief of Army,Milutin Nedic,7,Decisive Battle Doctrine,L46026
547075,Foreign Minister,Miroslav Spalajkovic,7,The Cloak N Dagger Schemer,M20016
547095,Minister of Armament,Nikola Uzunovic,7,Laissez-Faire Capitalist,kainikuzun
547085,Head of Military Intelligence,Petar Aracic,7,Logistics Specialist,SER-KR_Petar_Aracic
547007,Chief of Staff,Petar Kosic,7,School of Defence,SER-KR_Petar_Kosic
547034,Chief of Staff,Petar Pesic,7,School of Mass Combat,SER-KR_Petar_Pesic
547081,Minister of Armament,Svetislav Milosavljevic,7,Military Entrepreneur,SER-KR_Svetislav_Milosavljevic2
547009,Chief of Navy,Under Army Command,7,Base Control Doctrine,SER-KR_Navy
547084,Head of Military Intelligence,Bosko Becarevic,8,Political Specialist,SER-KR_Bosko_Becarevic
547029,Head of Military Intelligence,Dragomir Jovanovic,8,Political Specialist,M20067
547063,Head of Government,Milan Acimovic,8,Political Protege,SER-KR_Milan_Acimovic
547024,Minister of Security,Milan Acimovic,8,Back Stabber,SER-KR_Milan_Acimovic
547038,Chief of Army,Milan Nedic,8,Static Defence Doctrine,SER-KR_Milan_Nedic
547050,Chief of Staff,Milan Nedic,8,School of Mass Combat,SER-KR_Milan_Nedic
547098,Head of Government,Milan Nedic,8,Old General,SER-KR_Milan_Nedic
547068,Head of Government,Patriarch Varnava,8,Happy Amateur,kaipatvarn
547064,Chief of Army,Petar Bojovic,8,Decisive Battle Doctrine,kaiserreich Bojovic
547037,Chief of Army,Petar Zivkovic,8,Guns and Butter Doctrine,SERZiv
547074,Head of Government,Petar Zivkovic,8,Old General,SERZiv
547032,Head of Military Intelligence,Petar Zivkovic,8,Political Specialist,SERZiv
547025,Minister of Security,Svetozar Vujkovic,8,Efficient Sociopath,SER-KR_Svetozar_Vujkovic
547094,Minister of Security,Tanasije Dinic,8,Prince of Terror,M20052
547104,Foreign Minister,Dimitrije Ljotic,9,Ideological Crusader,M20048
547088,Head of Government,Dimitrije Ljotic,9,Political Protege,M20048
547114,Minister of Security,Dimitrije Ljotic,9,Back Stabber,M20048
547090,Minister of Armament,Mihailo Olcan,9,Infantry Proponent,SER-KR_Mihailo_Olcan
547089,Foreign Minister,Velibor Jonic,9,Iron Fisted Brute,SER-KR_Velibor_Jonic
