SIA,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
x,Foreign Minister,Krachang Tularak,0,ideological crusader,Krachang_Tularak
m,Chief of Air Force,Luang Thewaruekpanluek,0,Vertical Envelopment Doctrine,Luang_Thewaruekpanluek
m,Chief of Navy,Phraya Wichitchollatee,0,Power Projection Doctrine,Phraya_Wichitchollatee
x,Head of Government,Song Noppakul,0,ambitious union boss,Song_Noppakul
x,Minister of Armament,Thawin Udol,0,air superiority proponent,Thawin_Udol
x,Minister of Armament,Chamlong Daorueang,1,planned economy proponent,Chamlong_Daorueang
x,Minister of Security,Chao Phraya Srithammathibet,1,compassionate gentleman,Chao_Phraya_Srithammathibet
x,Head of Military Intelligence,Duen Bunnag,1,technical specialist,Duen_Bunnag
m,Chief of Air Force,Luang Athuekthewadet,1,Naval Aviation Doctrine,Luang_Athuekthewadet
x,Minister of Armament,Phraya Sartsphonkhan,1,tank proponent,Phraya_Sartsphonkhan
m,Chief of Army,Phraya Songsuradet,1,Decisive Battle Doctrine,Phraya_Songsuradet
x,Head of Government,Prasert Eiwchai,1,happy amateur,Prasert_Eiwchai
x,Foreign Minister,Sanguan Tularak,1,iron fisted brute,Sanguan_Tularak
x,Minister of Security,Thongin Phuripat,1,man of the people,Thongin_Phuripat
x,Minister of Security,Jarun Suebsang,2,crime fighter,Jarun_Suebsang
x,Foreign Minister,Luang Praditmanutham,2,the cloak n dagger schemer,Luang_Praditmanutham
x,Head of Government,Luang Praditmanutham,2,political protege,Luang_Praditmanutham
x,Head of Military Intelligence,Luang Praditmanutham,2,political specialist,Luang_Praditmanutham
m,Chief of Army,Luang Seriroengrit,2,Static Defence Doctrine,Luang_Seriroengrit
x,Minister of Armament,Phraya Sornyutthaseni,2,u boat proponent,Phraya_Sornyutthaseni
m,Chief of Navy,Thawan Thamrongnawasawat,2,Indirect Approach Doctrine,Thawan_Thamrongnawasawat
x,Head of Military Intelligence,Thawan Thamrongnawasawat,2,naval intelligence specialist,Thawan_Thamrongnawasawat
x,Minister of Security,Thawan Thamrongnawasawat,2,efficient sociopath,Thawan_Thamrongnawasawat
x,Foreign Minister,Direk Chainam,3,biased intellectual,Direk_Chainam
x,Head of Government,Direk Chainam,3,naive optimist,Direk_Chainam
m,Chief of Army,Luang Chumnarnyutthasart,3,Guns and Butter Doctrine,Luang_Chumnarnyutthasart
m,Chief of Navy,Luang Sinthusongkhramchai,3,Indirect Approach Doctrine,Luang_Sinthusongkhramchai
m,Chief of Army,Phraya Surapanthaseni,3,Armoured Spearhead Doctrine,Phraya_Surapanthaseni
x,Minister of Security,Phraya Tepvitunpahun Saruttabodhi,3,man of the people,Phraya_Tepvitunpahun_Saruttabodhi
m,Chief of Air Force,Purachat Chaiyakon,3,Vertical Envelopment Doctrine,Purachat_Chaiyakon
x,Minister of Armament,Purachat Chaiyakon,3,industrialiser,Purachat_Chaiyakon
x,Head of Military Intelligence,Tiang Sirikhanth,3,dismal enigma,Tiang_Sirikhanth
x,Minister of Security,Luang Chawengsaksongkhram,4,back stabber,Luang_Chawengsaksongkhram
m,Chief of Army,Phraya Phaholpholphayuhasena,4,Elastic Defence Doctrine,Phraya_Phaholpholphayuhasena
m,Chief of Staff,Phraya Phaholpholphayuhasena,4,School of Manoeuvre,Phraya_Phaholpholphayuhasena
x,Head of Government,Phraya Phaholpholphayuhasena,4,old general,Phraya_Phaholpholphayuhasena
m,Chief of Staff,Phraya Songsuradet,4,School of Defence,Phraya_Songsuradet
x,Minister of Armament,Chao Phraya Wongsanupraphan,5,laissez faire capitalist,Chao_Phraya_Wongsanupraphan
m,Chief of Navy,Luang Supachalasai,5,Decisive Naval Battle Doctrine,Luang_Supachalasai
m,Chief of Army,Phra Sasphithayayut,5,Elastic Defence Doctrine,Phra_Sasphithayayut
x,Foreign Minister,Phra Sasphithayayut,5,general staffer,Phra_Sasphithayayut
x,Head of Government,Phra Sasphithayayut,5,old general,Phra_Sasphithayayut
x,Minister of Armament,Khun Charoenworrarat,6,military entrepreneur,Khun_Charoenworrarat
m,Chief of Army,Luang Adulyadejarat,6,Guns and Butter Doctrine,Luang_Adulyadejarat
x,Minister of Security,Luang Adulyadejarat,6,secret police chief,Luang_Adulyadejarat
