SOV,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
4064,Chief of Air Force,Aleksandr D. Loktionov,0,Army Aviation Doctrine,M4064
4056,Chief of Staff,Aleksei I. Antonov,0,School of Psychology,M4056
4054,Chief of Staff,Alesandr M. Vasilevskij,0,School of Defence,M4054
4068,Chief of Air Force,Alexander Novikov,0,Air Superiority Doctrine,M4068
40822,Minister of Armament,Alexander Sherbakov,0,Resource Industrialist,KR_Sherbakov
4033,Foreign Minister,Andrey Vyshinsky,0,The Cloak N Dagger Schemer,M4033
4042,Minister of Security,Andriy G. Orlov,0,Silent Lawyer,M4042
4048,Head of Military Intelligence,Andriy P. Panfilov,0,Logistics Specialist,M4044
4044,Minister of Security,Andriy P. Panfilov,0,Man of the People,M4044
4038,Minister of Armament,Boris L. Vannikov,0,Military Entrepreneur,M4038
4051,Chief of Staff,Boris M. Shaposhnikov,0,School of Mass Combat,M4051
4037,Minister of Armament,Dimitry F. Ustinov,0,Theoretical Scientist,M4037
4050,Head of Military Intelligence,Fedor F. Kuznetsov,0,Technical Specialist,M4050
4047,Head of Military Intelligence,Filip I. Golikov,0,Political Specialist,M4047
4005,Minister of Security,Genrikh Yagoda,0,Back Stabber,M4005
4036,Minister of Armament,Georgij D. Bazilevich,0,Infantry Proponent,M4036
4053,Chief of Staff,Georgiy K. Zhukov,0,School of Fire Support,M4028
4049,Head of Military Intelligence,Igor I. Ilichev,0,Industrial Specialist,M4049
4006,Head of Military Intelligence,Ivan I.Proskurov,0,Dismal Enigma,M4046
4035,Foreign Minister,Ivan M. Maisky,0,Apologetic Clerk,M4035
4052,Chief of Staff,Kirill A. Meretskov,0,School of Psychology,M4052
40816,Head of Government,Kirill Meretskov,0,Political Protege,Kaiserreich_Meretskov
4008,Chief of Army,Kliment Y. Voroshilov,0,Guns and Butter Doctrine,M4008
40813,Foreign Minister,Lavrentij Beria,0,General Staffer,M519002
40812,Head of Government,Lavrentij Beria,0,totalist chairman,M519002
4004,Minister of Armament,Lazer Kaganovich,0,Resource Industrialist,M4004
4003,Foreign Minister,Maksim Litvinov,0,Biased Intellectual,M4003
4007,Chief of Staff,Michail N. Tuchatjevskij,0,School of Manoeuvre,M4007
4061,Chief of Navy,Mikhail V. Viktorov,0,Power Projection Doctrine,M4061
4062,Chief of Navy,Nikolai Kuznetsov,0,Decisive Naval Battle Doctrine,M4029
40826,Head of Government,Nikolai Yezhov,0,totalist chairman,M4031
4045,Head of Military Intelligence,Nikolai Yezhov,0,Technical Specialist,M4031
4031,Minister of Security,Nikolai Yezhov,0,Prince of Terror,M4031
4055,Chief of Staff,Nikolaj Bulganin,0,School of Mass Combat,M4055
4073,Head of Government,Nikolay Shvernik,0,Naive Optimist,M4070
4065,Chief of Air Force,Pavel V. Rychagov,0,Naval Aviation Doctrine,M4030
40821,Minister of Security,Petr Popkov,0,Compassionate Gentleman,KR_Popkov
4060,Chief of Army,Rodion Malinovskij,0,Armoured Spearhead Doctrine,L10102
4058,Chief of Army,Semen K. Timoshenko,0,Elastic Defence Doctrine,M4058
4057,Chief of Staff,Sergei M. Shtemenko,0,School of Manoeuvre,M4057
4040,Minister of Security,Sergej Uritskiy,0,Crime Fighter,M4040
4043,Minister of Security,Sergiy G. Gendin,0,Efficient Sociopath,M4043
4034,Foreign Minister,Vyacheslav Molotov,0,Iron Fisted Brute,M4034
4069,Chief of Air Force,Y.V. Vladimiroch,0,Carpet Bombing Doctrine,M4069
40830,Head of Military Intelligence,Yan K. Berzin,0,Technical Specialist,M4006
40831,Minister of Security,Yan K. Berzin,0,Back Stabber,M4006
4067,Chief of Air Force,Aleksandr E. Golovanov,1,Army Aviation Doctrine,M4067
40828,Chief of Army,Aleksandr I. Yegorov,1,Elastic Defence Doctrine,M4131
40829,Chief of Staff,Aleksandr I. Yegorov,1,School of Manoeuvre,M4131
40781,Minister of Security,Anastas I. Mikoyan,1,Man of the People,kaiserreich_Mikoyan
40839,Minister of Armament,Grigori Sokolnikov,1,Administrative Genius,kai_sovgrigskl
40840,Head of Government,Grigory Zinoviev,1,Naive Optimist,kai_sovgrigznv
40820,Head of Government,Ivan Konev,1,Old General,KR_Konev
4063,Chief of Navy,Ivan. S. Isakov,1,Base Control Doctrine,M4063
40837,Foreign Minister,Lev Kamenev,1,Biased Intellectual,kai_sovlvkmnv
40838,Head of Government,Lev Kamenev,1,Ambitious Union Boss,kai_sovlvkmnv
4074,Head of Government,Mikhail Tomsky,1,Silent Workhorse,kaiserreich Tomsky
4002,Head of Government,Nicolai Bukharin,1,Silent Workhorse,BukharinSOV
40834,Head of Military Intelligence,Nikolai M. Kharlamov,1,Technical Specialist,L10472
40836,Chief of Staff,Vladimir A. Ovseyenko,1,School of Manoeuvre,kai_sovvldmrantnovs
40811,Head of Military Intelligence,Vladimir G. Dekanozov,1,Political Specialist,kaiserreich_Dekanozov
4009,Chief of Navy,Vladimir M. Orlov,1,Indirect Approach Doctrine,M4009
4010,Chief of Air Force,Yakov I. Alksnis,1,Air Superiority Doctrine,M4010
4066,Chief of Air Force,Yakov V. Smushkevich,1,Army Aviation Doctrine,M4066
40815,Head of Government,Andrei Zhdanov,2,Silent Workhorse,Kaiserreich_Zhdanov
40832,Chief of Staff,Fedor I. Trukhin,2,School of Mass Combat,Fedor_Trukhin
40833,Head of Military Intelligence,Fedor I. Trukhin,2,Logistics Specialist,Fedor_Trukhin
40835,Chief of Navy,Konstantin Dushenov,2,Indirect Approach Doctrine,L10520
4027,Chief of Staff,Konstantin K. Rokossovsky,2,School of Manoeuvre,M4027
40762,Chief of Army,Michail V. Frunze,2,Armoured Spearhead Doctrine,kaiserreich_Frunze
40791,Minister of Security,Pavel A. Sudoplatov,2,Crime Fighter,kaiserreich_Sudoplatov
40771,Minister of Armament,Valerian V. Kuybyshev,2,Administrative Genius,kaiserreich_Kuybyshev
40841,Chief of Staff,Vladimir Triandafillov,2,School of manoeuvre,kai_sovvladtrij
40801,Head of Military Intelligence,Vsevolod N. Merkulov,2,Logistics Specialist,kaiserreich_Merkulov
