CHC,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
51025,Minister of Armament,Cao Qiuru,9,Administrative Genius,M51023
51070,Foreign Minister,Chen Bo Ling,9,Great Compromiser,CHCChe
51051,Chief of Army,Chen Yi,9,Armoured Spearhead Doctrine,M51045
51065,Foreign Minister,Chen Yi,9,Ideological Crusader,M51045
51049,Chief of Staff,Chen Yi,9,School of Psychology,M51045
51039,Head of Military Intelligence,Deng Xiaoping,9,Industrial Specialist,M51038
51016,Chief of Air Force,Fang Zeyi,9,Army Aviation Doctrine,M51010
51003,Head of Government,Fang Zhimin,9,Political Protege,Fang Zhimin
51005,Chief of Army,Fang Zhimin,9,Static Defence Doctrine,Fang Zhimin
51060,Chief of Army,Fu Chen Sung,9,Decisive Battle Doctrine,MCHCFuChen
51050,Chief of Army,Gao Gang,9,Elastic Defence Doctrine,M51049
51037,Minister of Security,Gao Xue,9,Compassionate Gentleman,M51033
51028,Minister of Armament,Guo Yunshen,9,Air to Ground Proponent,M51024
51068,Chief of Staff,Han Xianchu,9,School of Defence,CHC_hanxianchu
51031,Minister of Armament,He Yuandang,9,Resource Industrialist,M51026
51071,Minister of Security,Lao Qian Ren,9,Crime Fighter,CHCRen
51012,Head of Military Intelligence,Li Kenong,9,Logistics Specialist,M51006
51033,Minister of Security,Lin Bojiu,9,Compassionate Gentleman,M51004
51024,Head of Government,Lin Bojiu,9,Flamboyant Tough Guy,M51004
51054,Foreign Minister,Lin Bojiu,9,Iron Fisted Brute,M51004
51009,Minister of Armament,Lin Bojiu,9,Military Entrepreneur,M51004
51059,Chief of Staff,Lü Zhengcao,9,School of Mass Combat,MCHCLuZheng
51067,Minister of Security,Luo Ruiqing,9,Crime Fighter,CHC_luoruiqing
51069,Foreign Minister,Pan Hua Ling,9,Ideological Crusader,MCHCTji
51066,Minister of Armament,Peng Dehuai,9,Infantry Proponent,M51053
51057,Foreign Minister,Sun Suzhen,9,Great Compromiser,Sun Suzhen
51006,Head of Government,Sun Suzhen,9,Happy Amateur,Sun Suzhen
51062,Chief of Army,Tang Juwu,9,elastic defence doctrine,MCHCTangJuwu
51030,Minister of Armament,Wang Fengbo,9,laissez-faire capitalist,M51025
51040,Head of Military Intelligence,Wang Jiaxiang,9,Dismal Enigma,M51003
51055,Minister of Security,Wang Jiaxiang,9,Prince of Terror,M51003
51058,Head of Military Intelligence,Wu Leichuan,9,Political Specialist,MCHCWuLei
51061,Minister of Security,Xiao Chang Ming,9,Man of the People,MCHCChangming
51010,Minister of Security,Xie Juezai,9,Man of the People,M51005
51044,Head of Military Intelligence,Xie Juezai,9,Political Specialist,M51005
51045,Chief of Staff,Xu Xiangqian,9,School of Manoeuvre,M51044
51023,Head of Government,Zhang Guotao,9,Ambitious Union Boss,M51012
51001,Head of Government,Zhang Tianran,9,Corporate Suit,Zhang Tianran
51056,Foreign Minister,Zhang Tianran,9,Ideological Crusader,Zhang Tianran
51064,Head of Government,Zhou Enlai,9,pragmatic statesman,M51051
51038,Head of Military Intelligence,Zhou Enlai,9,Technical Specialist,M51037
51032,Minister of Security,Zhou Xing,9,Crime Fighter,M51030
51013,Chief of Army,Zhu De,9,Guns and Butter Doctrine,M51007
51015,Chief of Navy,Ziao Jingguang,9,Open Seas Doctrine,M51009
