RSI,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
508222,Head of Government,Benito Mussolini,0,Old General,kaiserreich_RSI_Benito_Mussolini
508215,Minister of Security,Benito Mussolini,0,Man of the People,kaiserreich_RSI_Benito_Mussolini
508205,Minister of Security,Cesare Maria De Vecchi,0,Prince of Terror,kaiserreich_RSI_De_Vecchi
508219,Chief of Navy,Dino Grandi,0,Power Projection Doctrine,M3153
508203,Foreign Minister,Dino Grandi,0,Great Compromiser,M3056
508216,Head of Military Intelligence,Dino Grandi,0,Technical Specialist,M3056
508209,Chief of Navy,Domenico Cavagnari,0,Decisive Naval Battle Doctrine,M3009
508208,Chief of Army,Emilio De Bono,0,Decisive Battle Doctrine,kaiserreich_RSI_De_Bono
508206,Head of Military Intelligence,Emilio De Bono,0,Logistics Specialist,kaiserreich_RSI_De_Bono
508204,Minister of Armament,Giuseppe Bottai,0,Infantry Proponent,kaiserreich_RSI_Bottai
508214,Minister of Armament,Guido Jung,0,Administrative Genius,M3076
508210,Chief of Air Force,Italo Balbo,0,Army Aviation Doctrine,kaiserreich_RSI_Balbo
508212,Head of Government,Luigi Federzoni,0,Ambitious Union Boss,kaiserreich_RSI_Federzoni
508202,Head of Government,Michele Bianchi,0,Silent Workhorse,kaiserreich_RSI_Bianchi
508207,Chief of Staff,Renato Ricci,0,School of Mass Combat,kaiserreich_RSI_renato_ricci
508226,Head of Military Intelligence,Umberto Ricci,0,Industrial Specialist,kaiserreich_RSI_umberto_ricci
508011,Head of Government,Amadeo Bordiga,1,Naive Optimist,kaiserreich_RSI_Amedeo_Bordiga
508002,Head of Government,Antonio Gramsci,1,Silent Workhorse,kaiserreich antoniogramsci
508015,Minister of Security,Antonio Gramsci,1,Crime Fighter,kaiserreich antoniogramsci
508007,Chief of Staff,Camillo Berneri,1,School of Defence,kaiserreich_RSI_Berneri
508014,Minister of Armament,Fausto Gullo,1,Military Entrepreneur,kaiserreich_RSI_Gullo
508009,Chief of Navy,Francesco Maugeri,1,Decisive Naval Battle Doctrine,kaiserreich_RSI_Maugeri
508026,Head of Military Intelligence,Giorgo Napolitano,1,Political Specialist,kaiserreich_RSI_Napolitano
508006,Head of Military Intelligence,Giuseppe di Vittorio,1,Political Specialist,M3120
508010,Chief of Air Force,Mario Ajmone Cat,1,Air Superiority Doctrine,kaiserreich_RSI_Ajmone_Cat
508024,Minister of Armament,Mauro Scoccimarro,1,Air Superiority Proponent,M3088
