TAI,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
910933,Minister of Armament,Lien Wenqing,1,Military Entrepreneur,M750011
910932,Foreign Minister,Sha Sekko,1,the cloak n dagger schemer,M750000
910931,Head of Government,Sha Sekko,1,Silent Workhorse,M750000
910935,Head of Military Intelligence,Xie Xuehong,1,Political Specialist,M750008
910939,Chief of Air Force,Zhou Enlai,1,Air Superiority Doctrine,M51037
910937,Chief of Army,Zhou Enlai,1,Static Defence Doctrine,M51037
910938,Chief of Navy,Zhou Enlai,1,Power Projection Doctrine,M51037
910936,Chief of Staff,Zhou Enlai,1,School of Mass Combat,M51037
910940,Minister of Armament,Lin Hsiung-cheng,5,Laissez-Faire Capitalist,M750043
910942,Minister of Security,Lin Hsiung-cheng,5,Silent Lawyer,M750043
910941,Minister of Armament,Tu Tsung-min,5,Theoretical Scientist,M750002
910911,Head of Government,Bunka Kyokai,6,Happy Amateur,MBunka
910912,Foreign Minister,Chiang Wei-shui,6,Biased Intellectual,MChiang
910924,Head of Government,Chiang Wei-shui,6,Flamboyant Tough Guy,MChiang
910919,Chief of Air Force,Chiu Chin-chuen,6,Air Superiority Doctrine,M750003
910915,Head of Military Intelligence,Koo Chen-fu,6,Industrial Specialist,M750006
910913,Minister of Armament,Koo Hsien-jung,6,Resource Industrialist,M750005
910914,Minister of Security,Lai He,6,Man Of The People,M750007
910918,Chief of Navy,Lee Teng-chin,6,Open Seas Doctrine,M750004
910927,Minister of Armament,Koo Chen-fu,7,Administrative Genius,M750006
910917,Chief of Army,Lin Shao-mao,7,Elastic Defence Doctrine,MLin
910916,Chief of Staff,Lin Shao-mao,7,School Of Psychology,MLin
910926,Foreign Minister,Lin Xiantang,7,Great Compromiser,M750040
910944,Chief of Army,Tong Li-she,7,Decisive Battle Doctrine,L157306
910943,Chief of Staff,Tong Li-she,7,School of Fire Support,L157306
910928,Minister of Security,Tsai Peihuo,7,Silent Lawyer,M750042
910929,Head of Military Intelligence,Xie Chunmu,7,Dismal Enigma,M750041
910925,Foreign Minister,Peng Huaying,8,Ideological Crusader,M750001
910923,Head of Government,Peng Huaying,8,Flamboyant Tough Guy,M750001
