TAJ,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
524002,Head of Government,Bobodzhan Gafurov,1,Flamboyant Tough Guy,M524002
524003,Foreign Minister,Urunboy Ushorov,1,General Staffer,M524003
524004,Minister of Armament,Mirza ogly Husseynov,1,Tank Proponent,M524004
524005,Minister of Security,Grigorij Broydo,1,Back Stabber,M524005
524006,Head of Military Intelligence,Suren Shchadunts,1,Dismal Enigma,M524006
524007,Chief of Staff,Ara Gafurov,1,School of Fire Support,M524007
524008,Chief of Army,Veniamin Protopopov,1,Decisive Battle Doctrine,M524008
524009,Chief of Navy,Pendar Ryndenko,1,Indirect Approach Doctrine,M524009
524010,Chief of Air Force,Mikhail Barsukov,1,Vertical Envelopment Doctrine,M524010
524013,Head of Government,Shadan Lavrenets,4,Corporate Suit,M524013
524014,Head of Government,Yevgenij Mamedov,7,Backroom Backstabber,M524014
524015,Foreign Minister,Shirinsho Shotemor,1,Iron Fisted Brute,M524015
524016,Foreign Minister,Feda Ronzin,4,Ideological Crusader,M524016
524017,Foreign Minister,Garri Abelev,4,Biased Intellectual,M524017
524018,Foreign Minister,Paghahan Asanov,7,Ideological Crusader,M524018
524019,Foreign Minister,Freba Pashkov,7,Iron Fisted Brute,M524019
524020,Minister of Armament,Kamshad Genkin,1,Resource Industrialist,M524020
524021,Minister of Armament,Abdullo Rakhimbayev,1,Military Entrepreneur,M524021
524022,Minister of Armament,Aleksandr Baikov,1,Theoretical Scientist,M524022
524023,Minister of Armament,Zand Korzh,4,Military Entrepreneur,M524023
524024,Minister of Armament,Naz Gindis,4,Tank Proponent,M524024
524025,Minister of Armament,Ivan Prosit,7,Air to Ground Proponent,M524025
524026,Minister of Armament,Ilya Chernyaev,7,Theoretical Scientist,M524026
524028,Minister of Security,Mamtun Kurbanov,4,Silent Lawyer,M524028
524029,Minister of Security,Grigorij Balanchine,4,Compassionate Gentleman,M524029
524030,Minister of Security,Alexander Berkmann,7,Prince of Terror,M524030
524031,Minister of Security,Mahasti Gafurov,7,Silent Lawyer,M524031
524032,Minister of Security,Father Gennadij,7,Crime Fighter,M524032
524033,Head of Military Intelligence,Mumtoz Raseltov,1,Logistics Specialist,M524033
524034,Head of Military Intelligence,Shayan Barishnikov,4,Dismal Enigma,M524034
524035,Head of Military Intelligence,Igor Balienkov,4,Technical Specialist,M524035
524036,Head of Military Intelligence,Valerij Barsukov,7,Technical Specialist,M524036
524037,Head of Military Intelligence,Feliks Ilyan,7,Political Specialist,M524037
524038,Chief of Staff,Nikilai Provotvorov,1,School of Mass Combat,M524038
524039,Chief of Staff,Yurij Perminov,4,School of Manoeuvre,M524039
524040,Chief of Staff,Urunboy Ushorov,7,School of Psychology,M524003
524041,Chief of Army,Neelufar Kazachestevo,1,Guns and Butter Doctrine,M524041
524042,Chief of Army,Nikita Proskuriakov,4,Armoured Spearhead Doctrine,M524042
524043,Chief of Army,Ara Gafurov,7,Static Defence Doctrine,M524007
524044,Chief of Navy,Siamak Sinaiski,4,Open Seas Doctrine,M524044
524045,Chief of Navy,Urunboy Ushorov,7,Decisive Naval Battle Doctrine,M524003
524046,Chief of Air Force,Pendar Ryndenko,4,Army Aviation Doctrine,M524009
524047,Chief of Air Force,Walter Surén,7,Carpet Bombing Doctrine,M524047
