PRI,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
527041,Chief of Navy,Dmytry Kulik,1,Indirect Approach Doctrine,M527041
527025,Minister of Security,Gennadij Bukaev,1,Man of the People,M527025
527038,Chief of Army,Ivan Tretyak,1,Static Defence Doctrine,M527038
527030,Head of Military Intelligence,Jelena Shvanova,1,Industrial Specialist,M527030
527015,Foreign Minister,Mahmud Gaidar,1,Ideological Crusader,M527015
527010,Chief of Air Force,Nikolai Shutt,1,Vertical Envelopment Doctrine,M527010
527020,Minister of Armament,Sirazhudin Khabuleyev,1,Military Entrepreneur,M527020
527008,Chief of Army,Tryfil Shimansky,1,Elastic Defence Doctrine,M527008
527044,Chief of Air Force,Viktor Shavrov,1,Army Aviation Doctrine,M527044
527009,Chief of Navy,Vitaly Panov,1,Open Seas Doctrine,M527009
527035,Chief of Staff,Voldar Shalimov,1,School of Mass Combat,M527035
527061,Foreign Minister,Genrich Eiche,3,Great Compromiser,GenrichEkai
527057,Head of Government,Pyotr Nikiforov,3,Ambitious Union Boss,nikiforovkai
527017,Foreign Minister,Aleksei Sidorenko,5,Great Compromiser,M527017
527022,Minister of Armament,Gennadij Selezhnev,5,Air to Ground Proponent,M527022
527042,Chief of Navy,Igor Keppenrus,5,Power Projection Doctrine,M527042
527016,Foreign Minister,Jegor K. Chahine,5,Biased Intellectual,M527016
527032,Head of Military Intelligence,Jegor Koptev,5,Technical Specialist,M527032
527013,Head of Government,Mihail Akseimov,5,Flamboyant Tough Guy,M527013
527045,Chief of Air Force,Mikhail Shevrigin,5,Naval Aviation Doctrine,M527045
527056,Head of Government,Nikolay Uhtomski,5,Silent Workhorse,uhtomskikai
527039,Chief of Army,Pavel Shein,5,Static Defence Doctrine,M527039
527021,Minister of Armament,Tryin Tryubachev,5,Administrative Genius,M527021
527036,Chief of Staff,Vassilij A. Shiryaev,5,School of Defence,M527036
527026,Minister of Security,Victor Krhistenko,5,Compassionate Gentleman,M527026
527031,Head of Military Intelligence,Viktor A. Shanin,5,Industrial Specialist,M527031
527027,Minister of Security,Vladimir Kevorkov,5,Back Stabber,M527027
527058,Chief of Navy,Georgy Stark,6,Power Projection Doctrine,Starkkai
527055,Head of Government,Georgy Stark,6,Flamboyant Tough Guy,Starkkai
527066,Chief of Army,Mikhail Khanzhin,6,Decisive Battle Doctrine,Khanzhin
527065,Chief of Staff,Mikhail Khanzhin,6,School of Fire Support,Khanzhin
527059,Foreign Minister,Nikolai Merkulov,6,Ideological Crusader,Merkulovkai
527067,Chief of Air Force,Sergey Boyno-Rodzevich,6,Air Superiority Doctrine,Boyno-Rodzevich
527029,Minister of Security,Aleksandyr Davidenko,7,Compassionate Gentleman,M527029
527063,Chief of Staff,Anatoly Pepelyaev,7,School of Manoeuvre,kai_Anatoly Pepelyaev
527062,Head of Government,Anatoly Pepelyaev,7,Old General,kai_Anatoly Pepelyaev
527064,Minister of Armament,Anatoly Pepelyaev,7,Military Entrepreneur,kai_Anatoly Pepelyaev
527003,Foreign Minister,Boris Bakhmetev,7,Apologetic Clerk,KR_Bakh
527014,Head of Government,Gennadij Shiyanov,7,Old Admiral,M527014
527046,Chief of Air Force,Grigorij Shubin,7,Air Superiority Doctrine,M527046
527019,Foreign Minister,Magomed Gasanovich,7,Iron Fisted Brute,M527019
527007,Chief of Staff,Pavel Ivanov-Rinov,7,School of Fire Support,KR_Rinov
527040,Chief of Army,Pavel Panov,7,Decisive Battle Doctrine,M527040
527018,Foreign Minister,Piotr Shulgin,7,Great Compromiser,M527018
527024,Minister of Armament,Roman Basilevsky,7,Industrialiser,M527024
527033,Head of Military Intelligence,Viktor Karelin,7,Dismal Enigma,M527033
527023,Minister of Armament,Vladimir Bolshanin,7,Tank Proponent,M527023
527034,Head of Military Intelligence,Wilfred Filon,7,Logistics Specialist,M527034
527047,Chief of Navy,Aleksandr Kolchak,8,Power Projection Doctrine,Mrus kolchak
527050,Head of Government,Aleksandr Kolchak,8,Flamboyant Tough Guy,Mrus kolchak
527005,Minister of Security,Arkady Udintsev,8,Prince of Terror,KR_Udintsev
527004,Minister of Armament,Dmitry Lebedev,8,Resource Industrialist,KR_Lebedev
527002,Head of Government,Grigorij M. Semyonov,8,Old General,kai_msemenov
527006,Head of Military Intelligence,Nikolai Orlov,9,Logistics Specialist,KR_Orlov
527051,Minister of Security,Nikolai Semenov,9,Crime Fighter,M4111
