ALG,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
530042,Chief of Army,Ag Mohammed Wau Teguidda Kaocen,7,Armoured Spearhead Doctrine,Kaocen
530037,Chief of Staff,Ag Mohammed Wau Teguidda Kaocen,7,School of Fire Support,Kaocen
530015,Minister of Armament,Ag Mohammed Wau Teguidda Kaocen,7,Tank Proponent,Kaocen
530029,Minister of Security,Ag Mohammed Wau Teguidda Kaocen,7,Back Stabber,Kaocen
530040,Chief of Army,Akhemuk ag Ihemma,7,Elastic Defence Doctrine,Ihemma
530035,Chief of Staff,Akhemuk ag Ihemma,7,School of Manoeuvre,Ihemma
530006,Foreign Minister,Akhemuk ag Ihemma,7,Ideological Crusader,Ihemma
530012,Minister of Armament,Akhemuk ag Ihemma,7,Administrative Genius,Ihemma
530026,Minister of Security,Akhemuk ag Ihemma,7,Silent Lawyer,Ihemma
530005,Foreign Minister,Attaher ag Illi,7,The Cloak N Dagger Schemer,Illi
530032,Head of Military Intelligence,Attaher ag Illi,7,Dismal Enigma,Illi
530019,Minister of Armament,Attaher ag Illi,7,Corrupt Kleptocrat,Illi
530027,Minister of Security,Attaher ag Illi,7,Crooked Kleptocrat,Illi
530049,Chief of Air Force,Axamuk ag lhemma,7,Vertical Envelopment Doctrine,KaiserreichTuareg8
530046,Chief of Navy,Axamuk ag lhemma,7,Base Control Doctrine,KaiserreichTuareg8
530007,Foreign Minister,Bayy ag Akhemuk,7,Biased Intellectual,KaiserreichTuareg6
530031,Head of Military Intelligence,Bayy ag Akhemuk,7,Technical Specialist,KaiserreichTuareg6
530013,Minister of Armament,Bayy ag Akhemuk,7,Theoretical Scientist,KaiserreichTuareg6
530028,Minister of Security,Bayy ag Akhemuk,7,Compassionate Gentleman,KaiserreichTuareg6
530009,Foreign Minister,Dassine Oult Yemma,7,Great Compromiser,Yemma
530002,Head of Government,Dassine Oult Yemma,7,Flamboyant Tough Guy,Yemma
530030,Head of Military Intelligence,Dassine Oult Yemma,7,Political Specialist,Yemma
530011,Minister of Armament,Dassine Oult Yemma,7,Laissez-Faire Capitalist,Yemma
530023,Minister of Security,Dassine Oult Yemma,7,Man of the People,Yemma
530047,Chief of Air Force,Intalla ag Attaher,7,Army Aviation Doctrine,KaiserreichTuareg7
530043,Chief of Army,Intalla ag Attaher,7,Static Defence Doctrine,KaiserreichTuareg7
530038,Chief of Staff,Intalla ag Attaher,7,School of Defence,KaiserreichTuareg7
530021,Minister of Armament,Intalla ag Attaher,7,air to ground proponent,KaiserreichTuareg7
530022,Minister of Security,Intalla ag Attaher,7,Crime Fighter,KaiserreichTuareg5
530041,Chief of Army,Meslar ag Amayas,7,Decisive Battle Doctrine,KaiserreichTuareg3
530036,Chief of Staff,Meslar ag Amayas,7,School of Mass Combat,KaiserreichTuareg3
530016,Minister of Armament,Meslar ag Amayas,7,Infantry Proponent,KaiserreichTuareg3
530048,Chief of Air Force,Mokhtar Kodogo,7,Carpet Bombing Doctrine,unknown
530004,Foreign Minister,Mokhtar Kodogo,7,Apologetic Clerk,unknown
530017,Minister of Armament,Mokhtar Kodogo,7,Strategic Air Proponent,unknown
530044,Chief of Army,Rabnala Oult Lekal,7,Guns and Butter Doctrine,KaiserreichRabnala
530039,Chief of Staff,Rabnala Oult Lekal,7,School of Psychology,KaiserreichRabnala
530008,Foreign Minister,Rabnala Oult Lekal,7,General Staffer,KaiserreichRabnala
530003,Head of Government,Rabnala Oult Lekal,7,Old General,KaiserreichRabnala
530033,Head of Military Intelligence,Rabnala Oult Lekal,7,Logistics Specialist,KaiserreichRabnala
530014,Minister of Armament,Rabnala Oult Lekal,7,Military Entrepreneur,KaiserreichRabnala
530024,Minister of Security,Rabnala Oult Lekal,7,Efficient Sociopath,KaiserreichRabnala
530020,Minister of Armament,Umaru Agg-Ibrahim,7,Submarine Proponent,unknown
530045,Chief of Navy,Umaru Agg-Ibrahim,7,Indirect Approach Doctrine,unknown
530010,Foreign Minister,Zodi Ikhia,7,iron fisted brute,unknown
530034,Head of Military Intelligence,Zodi Ikhia,7,Industrial Specialist,unknown
530018,Minister of Armament,Zodi Ikhia,7,Resource Industrialist,unknown
530025,Minister of Security,Zodi Ikhia,7,Prince of Terror,unknown
