TUR,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
12002,Head of Government,Mustafa Ismet,7,Political Protege,M12002
12003,Foreign Minister,Tewfik Rüstü Aras,7,Biased Intellectual,M12003
12004,Minister of Armament,Zekai Apaydin,6,Resource Industrialist,M12004
12005,Minister of Security,Sükrü Kaya,6,Man of the People,M12005
12006,Head of Military Intelligence,Sükrü Ali Ogel,7,Industrial Specialist,M12006
12007,Chief of Staff,Fevzi Cakmak,7,School of Defence,M12007
12008,Chief of Army,Mehmet Nuri Yamut,7,Static Defence Doctrine,M12008
12009,Chief of Navy,Mehmet Ali Ìngen,7,Base Control Doctrine,M12009
12010,Chief of Air Force,Ali Örlungat,7,Army Aviation Doctrine,M12010
12032,Head of Government,Mahmud Celal Bayar,6,Silent Workhorse,M12032
12033,Head of Government,Refik Saydam,5,Smiling Oilman,M12024
12034,Head of Government,Sükrü Saracoglu,5,Flamboyant Tough Guy,M12034
12035,Foreign Minister,Sükrü Saracoglu,6,Biased Intellectual,M12034
12036,Foreign Minister,Said Menemencioglu,5,Great Compromiser,M12036
12038,Foreign Minister,Hassan Saka,6,Ideological Crusader,M12038
12039,Foreign Minister,Necmettin Sadik Sadak,6,General Staffer,M12039
12040,Foreign Minister,Refet Bele,7,General Staffer,M12040
12041,Foreign Minister,Mustafa Ismet,6,Great Compromiser,M12002
12042,Foreign Minister,Ali Fehti Okyar,5,Biased Intellectual,M12013
12043,Foreign Minister,Abdülhalik Renda,5,Apologetic Clerk,M12043
12045,Minister of Armament,Nurullah Esat Sümer,5,Corrupt Kleptocrat,M12045
12046,Minister of Armament,Adnan Menderes,5,Theoretical Scientist,M12046
12047,Minister of Armament,Ismet Inönü,6,Administrative Genius,M12031
12048,Minister of Armament,Fuad Calistar,6,Infantry Proponent,M12048
12049,Minister of Armament,Kazim Özalp,6,Military Entrepreneur,M12049
12050,Minister of Armament,Tevfik Rüsta Aras,5,Theoretical Scientist,M12050
12051,Minister of Armament,Mehmet Günaltay,6,Tank Proponent,M12051
12052,Minister of Armament,Münir Bürsen,5,Laissez-Faire Capitalist,M12052
12054,Minister of Armament,Mustafa Renda,5,Military Entrepreneur,M12054
12056,Minister of Security,Hüsnü Cakir,5,Crooked Kleptocrat,M12056
12057,Minister of Security,Hilmi Uran,5,Crime Fighter,M12057
12059,Minister of Security,Memduh Tagmac,5,Prince of Terror,M12059
12060,Minister of Security,Adnan Menderes,5,Back Stabber,M12046
12061,Minister of Security,Abdul Naci Tinaz,5,Silent Lawyer,M12061
12062,Minister of Security,Mahmud Celal Bayar,6,Back Stabber,M12032
12063,Minister of Security,Abbas Cevat,3,Crooked Kleptocrat,M12025
12064,Minister of Security,Saffet Arikan,6,Crime Fighter,M12058
12065,Minister of Security,Ali Riza Türel,5,Efficient Sociopath,M12065
12066,Minister of Security,Orhan Gökay,5,Silent Lawyer,M12015
12067,Minister of Security,Mehmet Recep Peker,6,Compassionate Gentleman,M12067
12068,Head of Military Intelligence,Mustafa Renda,6,Dismal Enigma,M12054
12069,Head of Military Intelligence,Ali Rüza Artunkal,5,Logistics Specialist,M12069
