U01,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
41023,Foreign Minister,Calixto Aroyo Tabaorda,1,Great Compromiser,M41023
41024,Minister of Armament,Ramón Menendez Súris,1,Infantry Proponent,M41024
41059,Minister of Armament,Carlos Neves Ochoa,2,Submarine Proponent,M41059
41049,Foreign Minister,Emilio Frugoni,2,The Cloak N Dagger Schemer,M41021
41022,Head of Government,Emilio Frugoni,2,Ambitious Union Boss,M41021
41075,Head of Military Intelligence,James McFarlane Rubio,2,Industrial Specialist,M41075
41025,Minister of Security,Jesús Menendez Súris,2,Back Stabber,M41025
41098,Chief of Air Force,Manuel Redondo Galván,2,Vertical Envelopment Doctrine,M41098
41038,Head of Government,A. Dres Gustavo,3,Happy Amateur,M41032
41062,Minister of Security,A. Dres Gustavo,3,Prince of Terror,M41032
41094,Chief of Air Force,Alvaro Ledon Gutierrez,3,Air Superiority Doctrine,M41030
41044,Foreign Minister,Baltasar Brun,3,Biased Intellectual,M41034
41040,Head of Government,Baltasar Brun,3,Old Admiral,M41034
41082,Chief of Army,Cantido Quintio Reyes,3,Static Defence Doctrine,M41077
41077,Chief of Staff,Cantido Quintio Reyes,3,School of Defence,M41077
41056,Minister of Armament,Carlos Jackson Urribé,3,Battle Fleet Proponent,M41009
41090,Chief of Navy,Carlos Neves Ochoa,3,Indirect Approach Doctrine,M41059
41092,Chief of Navy,Claudio Vio Valdéz,3,Open Seas Doctrine,M41092
41048,Foreign Minister,Eduardo Rodriguez Larreta,3,Great Compromiser,M41048
41071,Head of Military Intelligence,Enrique Isoba Álvarez,3,Technical Specialist,M41026
41096,Chief of Air Force,Ernesto Sanchez Elizondo,3,Army Aviation Doctrine,M41057
41073,Head of Military Intelligence,Hippolito Gallinal,3,Logistics Specialist,M41073
41067,Minister of Security,Jose Pedro Varela,3,Crime Fighter,M41067
41064,Minister of Security,Juan Carlos Blanco,3,Compassionate Gentleman,M41064
41052,Minister of Armament,Leopoldo C. Agorio,3,Theoretical Scientist,M41052
41088,Chief of Navy,Rafael Marques Ayala,3,Base Control Doctrine,M41029
41046,Foreign Minister,Washington Beltran,3,Ideological Crusader,M41046
41097,Chief of Air Force,A. Martín de la Flores,4,Naval Aviation Doctrine,M41091
41091,Chief of Navy,A. Martín de la Flores,4,Power Projection Doctrine,M41091
41065,Minister of Security,Alberto Dominguez Campora,4,Prince of Terror,M41065
41066,Minister of Security,Andres Pacheco,4,Efficient Sociopath,M41066
41102,Head of Government,Andres Trueba,4,Flamboyant Tough Guy,M41074
41074,Head of Military Intelligence,Andres Trueba,4,Technical Specialist,M41074
41106,Head of Government,Arturo Lezama Bagez,4,Happy Amateur,unknown
41085,Chief of Army,Eleazar Díaz Caminate,4,Decisive Battle Doctrine,M41085
41057,Minister of Armament,Ernesto Sanchez Elizondo,4,Air Superiority Proponent,M41057
41047,Foreign Minister,José Serrato,4,Apologetic Clerk,M41047
41058,Minister of Armament,Julio Cesar Grauer,4,Resource Industrialist,M41058
41079,Chief of Staff,Julio Cesar Vadora,4,School of Psychology,M41027
41042,Head of Government,Luis Conrado Batlle Beres,4,Naive Optimist,M41036
41041,Head of Government,Tomas Beretta Gandolfo,4,Flamboyant Tough Guy,M41035
41110,Head of Government,Alberto Fermín Zubiría,5,Silent Workhorse,unknown
41089,Chief of Navy,Francisco Suaréz Villablanco,5,Open Seas Doctrine,M41089
41045,Foreign Minister,Hector Alberto Gerona,5,Iron Fisted Brute,M41045
41083,Chief of Army,Hector Lopez Camara,5,Guns and Butter Doctrine,M41083
41055,Minister of Armament,Joaquin Garcia Sanchéz,5,Air to Ground Proponent,M41055
