USA,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
6099,Minister of Armament,Elizabeth Gurley Flynn,0,Battle Fleet Proponent,M6099
6141,Chief of Staff,Hans Amlie,0,School of Defence,M6027
6151,Chief of Army,Robert Merriman,0,Armoured Spearhead Doctrine,M6028
6075,Foreign Minister,Robert Minor,0,General Staffer,M6075
6073,Foreign Minister,Sam Darcy,0,Ideological Crusader,M6073
6100,Minister of Armament,Upton Sinclair,0,Air to Ground Proponent,M6100
6055,Head of Government,William Z. Foster,0,Totalist Chairman,M6055
6224,Minister of Security,William Z. Foster,0,Silent Lawyer,M6055
6076,Foreign Minister,Eugene Dennis,1,Biased Intellectual,M6076
6134,Head of Military Intelligence,Harry Haywood,1,Dismal Enigma,M6026
6220,Foreign Minister,Jack Reed,1,Ideological Crusader,kaiserreich JackReed
6058,Head of Government,Jack Reed,1,Ambitious Union Boss,kaiserreich jackreed
6103,Minister of Armament,Jack Reed,1,Administrative Genius,kaiserreich jackreed
6074,Foreign Minister,James Paul Warburg,1,Ideological Crusader,M6023
6119,Minister of Security,Jessica Smith,1,Compassionate Gentleman,M6119
6175,Chief of Air Force,John Abt,1,Army Aviation Doctrine,M6029
6165,Chief of Navy,John Abt,1,Base Control Doctrine,M6029
6117,Minister of Security,John Abt,1,Efficient Sociopath,M6029
6057,Head of Government,Joseph P. Lash,1,Naive Optimist,M6024
6149,Chief of Army,Oliver Law,1,Decisive Battle Doctrine,M6149
6213,Head of Government,Paul Mattick,1,Ambitious Union Boss,kaiserreich paulmattick
6223,Minister of Armament,Paul Mattick,1,Administrative Genius,kaiserreich paulmattick
6116,Minister of Security,Raymond Charles Moley,1,Prince of Terror,M6116
6201,Foreign Minister,Archibald MacLeish,2,Biased Intellectual,M6200
6200,Minister of Security,Archibald MacLeish,2,Man of the People,M6200
6115,Minister of Security,Charles Chaplin,2,Man of the People,M6115
6118,Minister of Security,Daniel Hoan,2,Silent Lawyer,M6025
6072,Foreign Minister,Floyd B. Olson,2,Ideological Crusader,M6072
6056,Head of Government,James Cannon,2,Smiling Oilman,M6056
6024,Minister of Armament,Joseph P. Lash,2,Resource Industrialist,M6024
6101,Minister of Armament,Lemart Harris,2,Resource Industrialist,M6101
6222,Foreign Minister,Max Shachtman,2,Great Compromiser,kaiserreich maxschachtman
6212,Head of Government,Max Shachtman,2,Silent Workhorse,kaiserreich maxschachtman
6150,Chief of Army,Steve Nelson,2,Static Defence Doctrine,M6150
6102,Minister of Armament,Walther Reuther,2,Resource Industrialist,M6102
6114,Minister of Security,William Aalto,2,Back Stabber,M6114
6098,Minister of Armament,Wyndham Mortimer,2,Resource Industrialist,M6098
6177,Minister of Armament,Averell H. Harriman,3,Resource Industrialist,M6177
6154,Chief of Navy,Charles Edison,3,Open Seas Doctrine,M6154
6143,Chief of Army,David McKenzie Key,3,Static Defence Doctrine,M6143
6004,Minister of Armament,George H. Dern,3,Military Entrepreneur,M6004
6105,Minister of Security,Henry Chalmers,3,Man of the People,M6105
6077,Minister of Armament,Henry Morgenthau,3,Resource Industrialist,M6077
6063,Foreign Minister,James Byrnes,3,Great Compromiser,M6063
6084,Minister of Armament,Kenneth C. Royall,3,Laissez-Faire Capitalist,M6084
6080,Minister of Armament,Leroy Grumman,3,Air Superiority Proponent,M6080
6211,Head of Government,Norman Thomas,3,Happy Amateur,M6021
6221,Head of Military Intelligence,Norman Thomas,3,Logistics Specialist,M6021
6145,Chief of Army,Omar N. Bradley,3,Armoured Spearhead Doctrine,M6145
6010,Chief of Air Force,Oscar Westover,3,Army Aviation Doctrine,M6010
6126,Head of Military Intelligence,Sidney Souers,3,Naval Intelligence Specialist,M6126
6251,Head of Government,Adlai Stevenson,4,Political Protege,kai_adlstvn
6123,Head of Military Intelligence,Adolf Berle,4,Political Specialist,M6123
6047,Head of Government,Alben W. Barkley,4,Silent Workhorse,M6047
