U17,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
701647,Minister of Security,Albert Clifford Williams,2,Man of the People,0
701622,Minister of Armament,Dai Dan Evans,2,Military Entrepreneur,Dai_Dan_Evans
701652,Chief of Air Force,David John Williams,2,Air Superiority Doctrine,David_John_Williams
701646,Foreign Minister,Elizabeth Andrews,2,Apologetic Clerk,Kaiserreich elizabeth andrews
701614,Head of Military Intelligence,Elizabeth Andrews,2,Political Specialist,Kaiserreich elizabeth andrews
701625,Chief of Staff,Ernest Jones,2,School of Manoeuvre,Ernest_Jones
701613,Minister of Security,Ernest Jones,2,Man of the People,Ernest_Jones
701651,Chief of Navy,H. R. Jones,2,Base Control Doctrine,H_R_Jones
701649,Chief of Staff,Hubert William Lewis,2,School of Defence,Kaiserreich Hubert William Lewis
701642,Head of Government,Huw T. Edwards,2,Naive Optimist,Kaiserreich huwtedwards
701650,Head of Military Intelligence,Jim Griffiths,2,Logistics Specialist,Jim_Griffiths
701644,Minister of Armament,Nye Bevan,2,Administrative Genius,Kaiserreich Nye Bevan
701645,Minister of Security,Nye Bevan,2,Compassionate Gentleman,Kaiserreich Nye Bevan
701648,Chief of Army,Peter Freeman,2,Static Defence Doctrine,Kaiserreich Peter Freeman
701617,Chief of Navy,Edward Prosser Rhys,3,Decisive Naval Battle Doctrine,Edward_Prosser_Rhys
701602,Minister of Armament,Edward Prosser Rhys,3,Resource Industrialist,Edward_Prosser_Rhys
701612,Minister of Armament,Kate Roberts,3,Air to Ground Proponent,Kate_Roberts
701610,Head of Government,Lady Megan Lloyd George,3,Ambitious Union Boss,Lady_Megan_Lloyd_George
701603,Minister of Security,Mai Roberts,3,Man of the People,Mai_Roberts
701604,Head of Military Intelligence,Saunders Lewis,3,Political Specialist,Saunders_Lewis
701615,Chief of Staff,Aneurin Bevan,4,school of defence,Aneurin_Bevan
701611,Foreign Minister,Bertrand Russell,4,Biased Intellectual,Bertrand_Russell
701618,Foreign Minister,Viscountess Rhondda,4,General Staffer,Viscountess_Rhondda
701601,Head of Government,David Lloyd George,6,Ambitious Union Boss,David_Lloyd_George
701605,Chief of Staff,Jim Griffiths,6,school of defence,Jim_Griffiths
701640,Chief of Navy,Bernard Warburton-Lee,7,Decisive Naval Battle Doctrine,Bernard_Warburton-Lee
701626,Chief of Army,Harry Pollitt,7,Decisive Battle Doctrine,Harry_Pollitt
701623,Minister of Security,Harry Pollitt,7,Prince of Terror,Harry_Pollitt
701638,Chief of Staff,Henry Weale,7,school of defence,Henry_Weale
701637,Minister of Armament,Hugh Dalton,7,Resource Industrialist,Hugh_Dalton
701621,Foreign Minister,Idris Cox,7,Great Compromiser,unknown
701633,Head of Government,Saunders Lewis,7,Flamboyant Tough Guy,Saunders Lewis
701636,Head of Military Intelligence,T. E. Nicholas,7,Undistinguished Suit,T_E_Nicholas
701639,Chief of Army,Tasker Watkins,7,Decisive Battle Doctrine,Tasker_Watkins
701641,Chief of Air Force,Will Paynter,7,Air Superiority Doctrine,Will_Paynter
701606,Chief of Army,Ambrose Bebb,8,static defence doctrine,Ambrose_Bebb
