CXB,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
504031,Foreign Minister,Iasyr Shivaza,1,Great Compromiser,kai_yasirshivaza
504030,Head of Government,Magaza Masanchi,1,Flamboyant Tough Guy,kai_masanchimagazy
504026,Head of Government,Ma Zhanshan,2,Corporate Suit,kai_mazhanshan
504028,Head of Government,Wang Zi-Ping,3,Happy Amateur,kai_wangziping
504024,Head of Government,Hu Songshan,6,Spiritual Leader,kai_husongshan
504013,Foreign Minister,Fang Jing,7,Great Compromiser,L50075
504010,Chief of Air Force,Ma Bufang,7,Army Aviation Doctrine,M750052
504009,Chief of Navy,Ma Bufang,7,Indirect Approach Doctrine,M750052
504008,Chief of Army,Ma Buqing,7,Guns and Butter Doctrine,M750053
504018,Chief of Staff,Ma Buqing,7,School of Defence,M750053
504019,Chief of Staff,Ma Fuxiang,7,School of Mass Combat,M750059
504033,Head of Government,Ma Hongbin,7,Silent Workhorse,M504006
504006,Head of Military Intelligence,Ma Hongbin,7,Political Specialist,M504006
504003,Foreign Minister,Ma Hongkui,7,General Staffer,M750054
504002,Head of Government,Ma Hongkui,7,Respected War Hero,M750054
504020,Chief of Army,Ma Jiyuan,7,Elastic Defence Doctrine,M750061
504016,Minister of Security,Ma Jiyuan,7,Man of the People,M750061
504012,Head of Government,Ma Lin,7,Old General,M750058
504035,Head of Government,Ma Shaowu,7,Backroom Backstabber,M750062
504004,Minister of Armament,Ma Shaowu,7,Military Entrepreneur,M750062
504015,Minister of Security,Ma Shaowu,7,Efficient Sociopath,M750062
504021,Chief of Army,Ma Zhongying,7,Decisive Battle Doctrine,L153003
504007,Chief of Staff,Ma Zhongying,7,School of Psychology,L153003
504034,Head of Government,Ma Zhongying,7,Old General,L153003
504017,Head of Military Intelligence,Ma Zhongying,7,Logistics Specialist,L153003
504005,Minister of Security,Ma Zhongying,7,Crime Fighter,L153003
504014,Minister of Armament,Zi Shen,7,Corrupt Kleptocrat,M504004
504036,Head of Government,Ma Bufang,8,Ambitious Union Boss,M750053
