YEM,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
93004,Head of Government,Yahya al Hamid,7,Smiling Oilman,M93001
93005,Head of Government,Ahmad bin Yahya,7,Backroom Backstabber,M93004
93006,Head of Government,Mustafa Sati Bey,8,Silent Workhorse,SatiBey
93007,Foreign Minister,Yahya al Hamid,7,General Staffer,M93001
93008,Foreign Minister,Ahmad bin Yahya,7,The Cloak N Dagger Schemer,M93004
93009,Foreign Minister,Husain bin Yahya,7,General Staffer,unknown
93010,Foreign Minister,Abdu'llah bin Yahya,8,The Cloak N Dagger Schemer,unknown
93011,Foreign Minister,Ali bin Yahya,7,Great Compromiser,unknown
93012,Foreign Minister,Yahya bin Yahya,7,Iron fisted Brute,unknown
93013,Minister of Armament,Yahya al Hamid,7,Military Entrepreneur,M93001
93014,Minister of Armament,Ahmad bin Yahya,7,Tank Proponent,M93004
93015,Minister of Armament,Hasan bin Yahya,7,Infantry Proponent,unknown
93016,Minister of Armament,Husain bin Yahya,7,Military Entrepreneur,unknown
93017,Minister of Armament,Ibrahim bin Yahya,8,Battle fleet Proponent,unknown
93018,Minister of Armament,Abbas bin Yahya,8,Submarine Proponent,unknown
93019,Minister of Armament,Muhsin bin Yahya,7,Strategic Air Proponent,unknown
93020,Minister of Armament,Sati al-Husri,8,Air Superiority Proponent,unknown
93021,Minister of Armament,Mutahir bin Yahya,7,Air to Ground Proponent,unknown
93022,Minister of Armament,Qasim bin Yahya,7,Air to Sea Proponent,unknown
93023,Minister of Armament,Abdu'llah bin Yahya,8,Tank Proponent,unknown
93024,Minister of Security,Yahya al Hamid,7,Prince of Terror,M93001
93025,Minister of Security,Ahmad bin Yahya,7,Back Stabber,M93004
93026,Minister of Security,Husain bin Yahya,7,Prince of Terror,unknown
93027,Minister of Security,Abdu'llah bin Yahya,8,Back Stabber,unknown
93028,Minister of Security,Ali bin Yahya,7,Man of the People,unknown
93029,Minister of Security,Yahya bin Yahya,7,Efficient Sociopath,unknown
93030,Head of Military Intelligence,Yahya al Hamid,7,Logistics Specialist,M93001
93031,Head of Military Intelligence,Ahmad bin Yahya,7,Dismal Enigma,M93004
93032,Head of Military Intelligence,Husain bin Yahya,7,Logistics Specialist,unknown
93033,Head of Military Intelligence,Abdu'llah bin Yahya,8,Dismal Enigma,unknown
93034,Head of Military Intelligence,Ismail bin Yahya,8,Naval Intelligence Specialist,unknown
93035,Chief of Staff,Yahya al Hamid,7,School of Defence,M93001
93036,Chief of Staff,Ahmad bin Yahya,7,School of Fire Support,M93004
93037,Chief of Staff,Husain bin Yahya,7,School of Defence,unknown
93038,Chief of Staff,Hasan bin Yahya,7,School of Mass Combat,unknown
93039,Chief of Staff,Ali bin Yahya,7,School of Psychology,unknown
93040,Chief of Staff,Mutahir bin Yahya,7,School of Manoeuvre,unknown
93041,Chief of Staff,Abdu'llah bin Yahya,8,School of Fire Support,unknown
93042,Chief of Army,Yahya al Hamid,7,Static Defence Doctrine,M93001
93043,Chief of Army,Ahmad bin Yahya,7,Armoured Spearhead Doctrine,M93004
93044,Chief of Army,Husain bin Yahya,7,Static Defence Doctrine,unknown
