GEO,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
519118,Foreign Minister,Alexander S. Svanidze,0,Biased Intellectual,GEO_Svanidze
519008,Chief of Army,Alexi Sasha Gegechkori,0,Guns and Butter Doctrine,GEO_SashaGegechkori
519115,Minister of Security,Avel Enukidze,0,Prince of Terror,GEO_Enukidze
519002,Head of Government,Filipp Makharadze,0,Happy Amateur,GEO_Makharadze
519005,Minister of Security,Ioseb B. Dzughashvili,0,Efficient Sociopath,M4002
519004,Minister of Armament,Isidore Ramishvili,0,Industrialiser,GEO_Ramishvili
519114,Chief of Staff,Lavrentij Beria,0,School of Psychology,M519007
519113,Head of Government,Lavrentij Beria,0,Totalist Chairman,M519002
519006,Head of Military Intelligence,Mamia Orakhelashvili,0,Political Specialist,GEO_Orakhelashvili
519106,Chief of Navy,Polikarp Mdivani,0,Base Control Doctrine,GEO_Mdivani
519119,Foreign Minister,Sergey I. Kavtaradze,0,Iron Fisted Brute,GEO_Kavtaradze
519010,Chief of Air Force,Sergo Goglidze,0,Vertical Envelopment Doctrine,GEO_Goglidze
519003,Foreign Minister,Vissarion Lominadze,0,Ideological Crusader,GEO_Lominadze
519007,Chief of Staff,Vladimir Dekanozov,0,School of Mass Combat,GEO_Dekanozov
519117,Head of Military Intelligence,Vsevolod Merkulov,0,Political Specialist,GEO_Merkulov
519116,Minister of Security,Vsevolod Merkulov,0,Back Stabber,GEO_Merkulov
519037,Foreign Minister,Evgeni Gegechkori,2,Iron Fisted Brute,GEO_Gegechkori
519023,Head of Government,Evgeni Gegechkori,2,Corporate Suit,GEO_Gegechkori
519050,Minister of Armament,Benia Chkhikvishvili,3,Laissez-Faire Capitalist,GEO_Chkhikvishvili
519105,Chief of Navy,Giorgi Anjaparidze,3,Indirect Approach Doctrine,GEO_Anjaparidze
519110,Chief of Air Force,Grigol Giorgadze,3,Air Superiority Doctrine,GEO_Giorgadze
519033,Foreign Minister,Grigol Lordkipanidze,3,Great Compromiser,GEO_Lordkipanidze
519065,Minister of Security,Grigol Uratadze,3,Silent Lawyer,GEO_Uratadze
519100,Chief of Army,Irakli Amirejibi,3,Guns and Butter Doctrine,GEO_Amirejibi
519049,Minister of Armament,Konstantine Kandelaki,3,Administrative Genius,GEO_Kandelaki
519022,Head of Government,Mikheil Javakhishvili,3,Naive Optimist,M519015
519034,Foreign Minister,Nikoloz Chkheidze,3,Ideological Crusader,GEO_NikolozChkheidze
519052,Minister of Armament,Noe Khomeriki,3,Industrialiser,GEO_Khomeriki
519066,Minister of Security,Noe Zhordania,3,Compassionate Gentleman,GEO_Zhordania
519064,Minister of Security,Razhden Arsenidze,3,Man of the People,GEO_Arsenidze
519036,Foreign Minister,Seit Devdariani,3,Biased Intellectual,GEO_Devdariani
519074,Head of Military Intelligence,Seit Devdariani,3,Dismal Enigma,GEO_Devdariani
519101,Chief of Army,Valiko Jugheli,3,Elastic Defence Doctrine,GEO_Jugheli
519086,Chief of Staff,Valiko Jugheli,3,School of Mass Combat,GEO_Jugheli
519035,Foreign Minister,Valiko Jugheli,3,General Staffer,GEO_Jugheli
519075,Head of Military Intelligence,Valiko Jugheli,3,Logistics Specialist,GEO_Jugheli
519051,Minister of Armament,Victor Tevzaia,3,Resource Industrialist,GEO_Tevzaia
519099,Chief of Army,Vladimir Goguadze,3,Decisive Battle Doctrine,GEO_Goguadze
519087,Chief of Staff,Vladimir Goguadze,3,School of Manoeuvre,GEO_Goguadze
519067,Minister of Security,Vladimir Goguadze,3,Crime Fighter,GEO_Goguadze
519085,Chief of Staff,Elizbar Gulisashvili,4,School of Fire Support,GEO_Gulisashvili
519063,Minister of Security,Grigol Peradze,4,Compassionate Gentleman,GEO_Peradze
519032,Foreign Minister,Ioseb Grishashvili,4,Apologetic Clerk,GEO_Grishashvili
519062,Minister of Security,Iosif Baratov,4,Prince of Terror,GEO_Baratov
519031,Foreign Minister,Nikoloz Berdzenishvili,4,Biased Intellectual,GEO_Berdzenishvili
519048,Minister of Armament,Nikoloz Muskhelishvili,4,Industrialiser,GEO_Muskhelishvili
519047,Minister of Armament,Akaki Chanturia,5,Theoretical Scientist,GEO_Chanturia
519098,Chief of Army,Alexandre Chkheidze,5,Static Defence Doctrine,GEO_ALChkheidze
519097,Chief of Army,Dimitri Shalikashvili,5,Elastic Defence Doctrine,GEO_Shalikashvili
519095,Chief of Army,Giorgi Mamaladze,5,Decisive Battle Doctrine,GEO_Mamaladze
519096,Chief of Army,Giorgi Mazniashvili,5,Armoured Spearhead Doctrine,GEO_Mazniashvili
519083,Chief of Staff,Giorgi Mazniashvili,5,School of Psychology,GEO_Mazniashvili
519021,Head of Government,Giorgi Mazniashvili,5,Respected War Hero,GEO_Mazniashvili
519084,Chief of Staff,Ivane Karangozishvili,5,School of Defence,GEO_Karangozishvili
