ITA,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,,,,,
3605,Minister of Security,Achille Grandi,2,Compassionate Gentleman,kaiserreich_ITA_Grandi
3604,Minister of Armament,Alceste De Ambris,2,Resource Industrialist,kaiserreich_ITA_De_Ambris
3606,Head of Military Intelligence,Aldo Aniasi,2,Industrial Specialist,kaiserreich_ITA_Aniasi
3602,Head of Government,Giuliano Vassalli,2,Silent Workhorse,kaiserreich_ITA_Vassalli
3603,Foreign Minister,Giuseppe Modigliani,2,Ideological Crusader,kaiserreich_ITA_Modigliani
3608,Chief of Army,Ilio Barontini,2,Static Defence Doctrine,kaiserreich_ITA_Barontini
3607,Chief of Staff,Ilio Barontini,2,School of Fire Support,kaiserreich_ITA_Barontini
3276,Minister of Security,Alberto Cardinal di Jorio,3,Back Stabber,kaiserreich_ITA_DiJorio
3233,Head of Military Intelligence,Angelo Giuseppe Cardinal Roncalli,3,Political Specialist,kaiserreich_ITA_angelo_roncalli
3419,Chief of Navy,Carlo Bergamini,3,Power Projection Doctrine,kaiserreich_ITA_Bergamini
3250,Head of Government,Eugène Cardinal Tisserant,3,Silent Workhorse,kaiserreich tisserant
3402,Head of Government,Ferruccio Parri,3,Naive Optimist,M3049
3415,Minister of Security,Ferruccio Parri,3,Man of the People,M3049
3406,Head of Military Intelligence,Giacomo Carboni,3,Industrial Specialist,M3112
3264,Head of Government,John XXIII,3,Naive Optimist,kaiserreich_ITA_John_XXIII_XXIV
3266,Head of Government,John XXIV,3,Naive Optimist,kaiserreich_ITA_John_XXIII_XXIV
3407,Chief of Staff,Marcello Soleri,3,School of Manoeuvre,kaiserreich_ITA_Soleri
3403,Foreign Minister,Marcello Soleri,3,Apologetic Clerk,kaiserreich_ITA_Soleri
3274,Foreign Minister,Monsignor Angelo dell'Acqua,3,Great Compromiser,kaiserreich_ITA_DellAcqua
3405,Minister of Security,Roberto Tremelloni,3,Man of the People,kaiserreich_ITA_Tremelloni
3404,Minister of Armament,Ugo La Malfa,3,Resource Industrialist,kaiserreich_ITA_La_Malfa
3409,Chief of Navy,Aimone; Duca di Spoleto,4,Decisive Naval Battle Doctrine,kaiserreich_ITA_aimone_spoleto
3410,Chief of Air Force,Amedeo; Duca d'Aosta,4,Air Superiority Doctrine,kaiserreich_ITA_amedeo_aosta
3408,Chief of Army,Amedeo; Duca d'Aosta,4,Guns and Butter Doctrine,kaiserreich_ITA_amedeo_aosta
3309,Chief of Navy,Angelo Iachino,4,Open Seas Doctrine,kaiserreich_ITA_Iachino
3302,Head of Government,Bartolomeo Meuccio Ruini,4,Naive Optimist,kaiserreich_ITA_Meuccio_Ruini
3322,Head of Government,Bruno Villabruna,4,Ambitious Union Boss,kaiserreich_ITA_Villabruna
3303,Foreign Minister,Carlo Sforza,4,The Cloak N Dagger Schemer,kaiserreich_ITA_Sforza
3306,Head of Military Intelligence,Carlo Sforza,4,Industrial Specialist,kaiserreich_ITA_Sforza
3334,Chief of Staff,Conte Alessandro Casati,4,School of Defence,M3134
3324,Minister of Armament,Conte Alessandro Casati,4,Tank Proponent,M3081
3275,Minister of Armament,Giacomo Cardinal Lercaro,4,Laissez-Faire Capitalist,kaiserreich_ITA_Lercaro
3313,Foreign Minister,Ivanoe Bonomi,4,Apologetic Clerk,M3048
3312,Head of Government,Ivanoe Bonomi,4,Silent Workhorse,M3048
3315,Minister of Security,Ivanoe Bonomi,4,Efficient Sociopath,M3048
3323,Foreign Minister,Luigi Einaudi,4,Ideological Crusader,M3085
3332,Head of Government,Luigi Einaudi,4,Naive Optimist,M3085
3314,Minister of Armament,Luigi Einaudi,4,Laissez-Faire Capitalist,M3085
3310,Chief of Air Force,Luigi Gasparotto,4,Air Superiority Doctrine,M3136
3308,Chief of Army,Luigi Gasparotto,4,Guns and Butter Doctrine,M3136
3307,Chief of Staff,Luigi Gasparotto,4,School of Manoeuvre,M3136
3304,Minister of Armament,Manlio Brosio,4,Laissez-Faire Capitalist,kaiserreich_ITA_Brosio
3609,Chief of Army,Peppino Garibaldi,4,Armoured Spearhead Doctrine,MItaGaribaldi
3610,Foreign Minister,Peppino Garibaldi,4,General Staffer,MItaGaribaldi
3611,Head of Military Intelligence,Peppino Garibaldi,4,Logistics Specialist,MItaGaribaldi
3333,Chief of Staff,Randolfo Pacciardi,4,School of Defence,M3133
3325,Minister of Security,Salvatore Aldisio,4,Prince of Terror,M3102
3305,Minister of Security,Umberto Tupini,4,Compassionate Gentleman,kaiserreich_ITA_Tupini
3015,Head of Government,Vittorio Emanuele Orlando,4,Naive Optimist,2723
3503,Foreign Minister,Alcide de Gasperi,6,Ideological Crusader,M3038
3512,Head of Government,Alcide de Gasperi,6,Backroom Backstabber,M3038
3505,Minister of Security,Amintore Fanfani,6,Compassionate Gentleman,kaiserreich_ITA_Fanfani
3510,Chief of Air Force,Antonio Scialoja,6,Vertical Envelopment Doctrine,M3166
3508,Chief of Navy,Arturo Riccardi,6,Indirect Approach Doctrine,M3149
3523,Foreign Minister,Conte Bernardo Attolico,6,Biased Intellectual,M3058
3046,Head of Government,Conte Stefano Jacini,6,Happy Amateur,M3046
3098,Minister of Security,Conte Stefano Jacini,6,Silent Lawyer,M3046
3502,Head of Government,Don Luigi Sturzo,6,Political Protege,kaiserreich_ITA_Sturzo
3506,Head of Military Intelligence,Don Luigi Sturzo,6,Political Specialist,kaiserreich_ITA_Sturzo
3509,Chief of Army,Enrico Mattei,6,Decisive Battle Doctrine,M3018
3527,Chief of Staff,Ettore Conti,6,School of Manoeuvre,M3132
3526,Head of Military Intelligence,Ezio Vanoni,6,Naval Intelligence Specialist,M3117
3522,Head of Government,Giovanni Gronchi,6,Silent Workhorse,kaiserreich_ITA_Gronchi
3504,Minister of Armament,Giovanni Gronchi,6,Infantry Proponent,kaiserreich_ITA_Gronchi
3524,Minister of Armament,Giulio Andreotti,6,Laissez-Faire Capitalist,kaiserreich_ITA_Andreotti
3516,Head of Military Intelligence,Giuseppe Pella,6,Logistics Specialist,M3116
3517,Chief of Staff,Mario Cingolani,6,School of Fire Support,M3130
3513,Foreign Minister,Pier Federico Martinetti,6,Apologetic Clerk,M3057
3507,Chief of Staff,Pietro Badoglio,6,School of Mass Combat,M3125
3514,Minister of Armament,Taddeo Orlando,6,Theoretical Scientist,M3080
3515,Minister of Security,Vito Reale,6,Crime Fighter,M3100
3272,Minister of Armament,Adeodato Cardinal Piazza,7,Military Entrepreneur,kaiserreich_ITA_Piazza
3008,Chief of Army,Alberto Pariani,7,Guns and Butter Doctrine,M3008
3277,Foreign Minister,Alfredo Ildefonso Cardinal Schuster,7,Great Compromiser,kaiserreich_ITA_Schuster
3271,Foreign Minister,Augusta Cardinal da Silva,7,Ideological Crusader,kaiserreich_ITA_Da_Silva
3273,Minister of Security,Benedetto Cardinal Masella,7,Silent Lawyer,kaiserreich_ITA_Masella
3006,Head of Military Intelligence,Cesare Amé,7,Industrial Specialist,M3006
3239,Foreign Minister,Domenico Cardinal Tardini,7,Apologetic Clerk,kaiserreich tardini
3241,Minister of Armament,Domenico Cardinal Tardini,7,Administrative Genius,kaiserreich tardini
3247,Foreign Minister,Eugène Cardinal Tisserant,7,Biased Intellectual,kaiserreich tisserant
3248,Minister of Security,Eugène Cardinal Tisserant,7,Crime Fighter,kaiserreich tisserant
3225,Head of Government,Eugenio Cardinal Pacelli,7,Naive Optimist,kaiserreich ecPacelli
3244,Minister of Security,Francesco Cardinal Marchetti-Selvaggiani,7,Silent Lawyer,kaiserreich marchetti
3238,Foreign Minister,Giovanni Cardinal Montini,7,Ideological Crusader,kaiserreich montini1
3231,Head of Military Intelligence,Giovanni Cardinal Montini,7,Dismal Enigma,kaiserreich montini1
3242,Minister of Armament,Giovanni Cardinal Montini,7,Laissez-Faire Capitalist,kaiserreich montini1
3053,Foreign Minister,Giuseppe Bastianini,7,Iron Fisted Brute,M3053
3278,Minister of Security,Giuseppe Cardinal Pizzardo,7,Efficient Sociopath,kaiserreich_ITA_Pizzardo
3224,Chief of Staff,Josef von Österreich-Toskana,7,School of Mass Combat,kaiserreich josefferdinandvOT
3223,Foreign Minister,Josef von Österreich-Toskana,7,General Staffer,kaiserreich josefferdinandvOT
3240,Minister of Armament,Lorenzo Cardinal Lauri,7,Administrative Genius,kaiserreich lauri
3237,Foreign Minister,Luigi Cardinal Maglione,7,Apologetic Clerk,kaiserreich maglione
3235,Head of Government,Luigi Cardinal Maglione,7,Political Protege,kaiserreich maglione
3243,Minister of Armament,Mother Pasqualina Lehnert,7,Corrupt Kleptocrat,kaiserreich pasq
3262,Head of Government,Paulus VI,7,Silent Workhorse,kaiserreich_ITA_Paulus_VI
3054,Foreign Minister,Pietro; Duca d'Acquarone,7,The Cloak N Dagger Schemer,M3054
3236,Head of Government,Pius XII,7,Silent Workhorse,kaiserreich ecPacelli
3245,Head of Government,Stephen X,7,Happy Amateur,kaiserreich dallacosta
3258,Head of Government,The College of Cardinals,7,Political Protege,kaiserreich papalconclave
3143,Chief of Army,Vittorio Ambrosio,7,Static Defence Doctrine,M3128
3128,Chief of Staff,Vittorio Ambrosio,7,School of Psychology,M3128
3065,Minister of Armament,Alberto Pariani,8,Air Superiority Proponent,M3008
3222,Foreign Minister,Alfredo Cardinal Ottaviani,8,The Cloak N Dagger Schemer,kaiserreich AlfredoOttaviani
3220,Head of Government,Alfredo Cardinal Ottaviani,8,Political Protege,kaiserreich AlfredoOttaviani
3067,Minister of Armament,Alfredo Guzzoni,8,Submarine Proponent,M3067
3283,Head of Military Intelligence,Antonio Cardinal Bacci,8,Dismal Enigma,kaiserreich_ITA_Bacci
3281,Minister of Armament,Antonio Cardinal Bacci,8,Theoretical Scientist,kaiserreich_ITA_Bacci
3232,Head of Military Intelligence,Domenico Cardinal Tardini,8,Political Specialist,kaiserreich tardini
3229,Minister of Security,Donato Cardinal Sbarretti,8,Silent Lawyer,kaiserreich sbarretti1
3230,Minister of Security,Elia Cardinal dalla Costa,8,Compassionate Gentleman,kaiserreich dallacosta
3108,Head of Military Intelligence,Enzo Galbiati,8,Political Specialist,M3108
3226,Foreign Minister,Eugenio Cardinal Pacelli,8,Great Compromiser,kaiserreich ecPacelli
3227,Minister of Armament,Eugenio Cardinal Pacelli,8,Administrative Genius,kaiserreich ecPacelli
3228,Minister of Armament,Francesco Cardinal Marchetti-Selvaggiani,8,Laissez-Faire Capitalist,kaiserreich marchetti
3007,Chief of Staff,Francesco Grazioli,8,School of Mass Combat,M3007
3279,Head of Government,Giuseppe Cardinal Siri,8,Flamboyant Tough Guy,kaiserreich_ITA_Siri
3284,Head of Military Intelligence,Giuseppe Cardinal Siri,8,Political Specialist,kaiserreich_ITA_Siri
3010,Chief of Air Force,Giuseppe Valle,8,Army Aviation Doctrine,M3010
3260,Head of Government,Gregorius XVII,8,Backroom Backstabber,kaiserreich_ITA_Gregorius_XVII
3005,Minister of Security,Guido Buffarini-Guidi,8,Man of the People,M3005
3282,Minister of Security,Josef Cardinal Frings,8,Man of the People,kaiserreich_ITA_Frings
3221,Head of Government,Josef von Österreich-Toskana,8,Old General,kaiserreich josefferdinandvOT
3140,Chief of Army,Mario Roatta,8,Armoured Spearhead Doctrine,M3140
3161,Chief of Air Force,Rino Corso Fougier,8,Air Superiority Doctrine,M3161
3254,Minister of Security,Elias I di Borbone-Parma,9,Prince of Terror,kaiserreich_ITA_elias_parma
3252,Head of Government,Julius IV,9,Flamboyant Tough Guy,kaiserreich innitzer
3141,Chief of Army,Junio Borghese,9,Decisive Battle Doctrine,M3044
3280,Foreign Minister,Marcel Cardinal Lefebvre,9,iron fisted brute,kaiserreich_ITA_Lefebvre
3150,Chief of Navy,Paolo Thaon di Revel,9,Open Seas Doctrine,M3035
3253,Foreign Minister,Pedro Cardinal Segura y Sáenz,9,iron fisted brute,kaiserreich_ITA_pedro_segura
3255,Minister of Security,Theodor Cardinal Innitzer,9,Prince of Terror,kaiserreich innitzer
3124,Chief of Staff,Ugo Cavallero,9,School of Manoeuvre,M3124
